Rank Number,Protein Name,C1,C2,C3,c,MAX,SUM
423,>tr|E7LW29|E7LW29_YEASV Ura2p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_2506 PE=3 SV=1,NaN,9,NaN,0,9,9
424,>tr|E9P9A5|E9P9A5_YEASX Ade6p OS=Saccharomyces cerevisiae GN=ADE6 PE=3 SV=1,NaN,NaN,9,0,9,9
425,>sp|P32463|ACPM_YEAST Acyl carrier protein- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACP1 PE=1 SV=1,6,8,8,0,8,22
426,>sp|Q04636|POB3_YEAST FACT complex subunit POB3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POB3 PE=1 SV=1,6,7,8,0,8,21
427,>sp|Q06685|VIP1_YEAST Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VIP1 PE=1 SV=1,8,7,6,0,8,21
428,>sp|P38682|GLO3_YEAST ADP-ribosylation factor GTPase-activating protein GLO3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLO3 PE=1 SV=1,6,6,8,0,8,20
429,>sp|Q04439|MYO5_YEAST Myosin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MYO5 PE=1 SV=1,8,6,6,0,8,20
430,>sp|P05749|RL22A_YEAST 60S ribosomal protein L22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL22A PE=1 SV=3,6,8,5,0,8,19
431,>sp|P43573|BUD27_YEAST Bud site selection protein 27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD27 PE=1 SV=1,8,4,7,0,8,19
432,>sp|P19880|YAP1_YEAST AP-1-like transcription factor YAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAP1 PE=1 SV=2,4,8,6,0,8,18
433,>sp|P38791|DHYS_YEAST Deoxyhypusine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DYS1 PE=1 SV=1,8,8,2,0,8,18
434,>sp|P47104|RAV1_YEAST Regulator of V-ATPase in vacuolar membrane protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAV1 PE=1 SV=1,4,8,6,0,8,18
435,>tr|C8ZCN5|C8ZCN5_YEAS8 EC1118_1K5_3389p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1K5_3389g PE=4 SV=1,7,8,3,0,8,18
436,>sp|P38009|PUR92_YEAST Bifunctional purine biosynthesis protein ADE17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE17 PE=1 SV=2,2,7,8,0,8,17
437,>sp|P32867|SSO1_YEAST Protein SSO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSO1 PE=1 SV=2,8,5,3,0,8,16
438,>sp|P43590|YFH6_YEAST Uncharacterized peptidase YFR006W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR006W PE=1 SV=1,8,8,NaN,0,8,16
439,>sp|Q04225|RRB1_YEAST Ribosome assembly protein RRB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRB1 PE=1 SV=1,4,4,8,0,8,16
440,>sp|Q05506|SYRC_YEAST Arginine--tRNA ligase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR341C PE=1 SV=1,8,NaN,8,0,8,16
441,>sp|B3LG61|KAD2_YEAS1 Adenylate kinase OS=Saccharomyces cerevisiae (strain RM11-1a) GN=ADK1 PE=3 SV=1,8,7,NaN,0,8,15
442,>sp|P01120|RAS2_YEAST Ras-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAS2 PE=1 SV=4,8,7,NaN,0,8,15
443,>sp|P08518|RPB2_YEAST DNA-directed RNA polymerase II subunit RPB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB2 PE=1 SV=2,8,3,4,0,8,15
444,>sp|P15180|SYKC_YEAST Lysine--tRNA ligase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRS1 PE=1 SV=2,4,3,8,0,8,15
445,>sp|P22768|ASSY_YEAST Argininosuccinate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG1 PE=1 SV=3,8,7,NaN,0,8,15
446,>sp|P26783|RS5_YEAST 40S ribosomal protein S5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS5 PE=1 SV=3,8,4,3,0,8,15
447,>sp|P33338|SLA2_YEAST Protein SLA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLA2 PE=1 SV=5,8,7,NaN,0,8,15
448,>sp|P16474|GRP78_YEAST 78 kDa glucose-regulated protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAR2 PE=1 SV=1,6,8,NaN,0,8,14
449,>sp|P53228|TAL2_YEAST Transaldolase NQM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NQM1 PE=1 SV=1,4,8,2,0,8,14
450,>sp|Q12305|RDL1_YEAST Thiosulfate sulfurtransferase RDL1- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RDL1 PE=1 SV=1,8,NaN,6,0,8,14
451,>tr|N1P246|N1P246_YEASC Histone chaperone OS=Saccharomyces cerevisiae (strain CEN.PK113-7D) GN=CENPK1137D_1516 PE=3 SV=1,8,NaN,6,0,8,14
452,>sp|P00729|CBPY_YEAST Carboxypeptidase Y OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRC1 PE=1 SV=1,8,5,NaN,0,8,13
453,>sp|P22579|SIN3_YEAST Transcriptional regulatory protein SIN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIN3 PE=1 SV=2,5,8,NaN,0,8,13
454,>sp|P42846|KRI1_YEAST Protein KRI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRI1 PE=1 SV=1,8,NaN,5,0,8,13
455,>sp|Q08951|AP3D_YEAST AP-3 complex subunit delta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APL5 PE=1 SV=1,8,NaN,5,0,8,13
456,>tr|G2WI01|G2WI01_YEASK K7_Tfa1p OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) GN=K7_TFA1 PE=4 SV=1,8,NaN,5,0,8,13
457,>tr|B3LNG1|B3LNG1_YEAS1 tRNA:m5C-methyltransferase OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_02986 PE=3 SV=1,NaN,8,3,0,8,11
458,>sp|Q08977|YP260_YEAST UPF0662 protein YPL260W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPL260W PE=1 SV=1,NaN,8,2,0,8,10
459,>sp|P07259|PYR1_YEAST Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5,NaN,NaN,8,0,8,8
460,>sp|P0CS90|HSP77_YEAST Heat shock protein SSC1- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSC1 PE=1 SV=1,NaN,8,NaN,0,8,8
461,>sp|P15624|SYFB_YEAST Phenylalanine--tRNA ligase beta subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRS1 PE=1 SV=3,NaN,NaN,8,0,8,8
462,>sp|P25567|SRO9_YEAST RNA-binding protein SRO9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRO9 PE=1 SV=2,8,NaN,NaN,0,8,8
463,>sp|P32447|ASF1_YEAST Histone chaperone ASF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASF1 PE=1 SV=1,NaN,8,NaN,0,8,8
464,>sp|P39521|FHL1_YEAST Pre-rRNA-processing protein FHL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FHL1 PE=1 SV=1,NaN,8,NaN,0,8,8
465,>sp|P40991|NOP2_YEAST 25S rRNA (cytosine(2870)-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP2 PE=1 SV=1,NaN,NaN,8,0,8,8
466,>sp|Q03661|ESC1_YEAST Silent chromatin protein ESC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ESC1 PE=1 SV=1,NaN,8,NaN,0,8,8
467,>sp|Q04602|VBA4_YEAST Vacuolar basic amino acid transporter 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VBA4 PE=1 SV=1,NaN,8,NaN,0,8,8
468,>sp|Q12449|AHA1_YEAST Hsp90 co-chaperone AHA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AHA1 PE=1 SV=1,8,NaN,NaN,0,8,8
469,>tr|A6ZMF6|A6ZMF6_YEAS7 Glucose-6-phosphate 1-epimerase OS=Saccharomyces cerevisiae (strain YJM789) GN=SCY_4268 PE=4 SV=1,NaN,8,NaN,0,8,8
470,>tr|A6ZPG5|A6ZPG5_YEAS7 Alanine--tRNA ligase OS=Saccharomyces cerevisiae (strain YJM789) GN=ALA1 PE=3 SV=1,NaN,NaN,8,0,8,8
471,>tr|A6ZZ70|A6ZZ70_YEAS7 Alkaline phosphatase OS=Saccharomyces cerevisiae (strain YJM789) GN=PHO8 PE=3 SV=1,8,NaN,NaN,0,8,8
472,>tr|B3LGB4|B3LGB4_YEAS1 Guanine nucleotide exchange protein for ARF OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_00352 PE=4 SV=1,NaN,NaN,8,0,8,8
473,>tr|B3LQ94|B3LQ94_YEAS1 Adenylate cyclase OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_03656 PE=4 SV=1,8,NaN,NaN,0,8,8
474,>tr|B3LSI3|B3LSI3_YEAS1 Uncharacterized protein OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_04775 PE=3 SV=1,NaN,NaN,8,0,8,8
475,>tr|C8ZFP3|C8ZFP3_YEAS8 Acc1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1N18_0573g PE=4 SV=1,NaN,NaN,8,0,8,8
476,>tr|C8ZG24|C8ZG24_YEAS8 EC1118_1N9_1376p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1N9_1376g PE=4 SV=1,8,NaN,NaN,0,8,8
477,>tr|C8ZHQ6|C8ZHQ6_YEAS8 Dipeptidyl peptidase 3 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1O4_1200g PE=3 SV=1,NaN,8,NaN,0,8,8
478,>tr|E7KQZ2|E7KQZ2_YEASL Abf1p OS=Saccharomyces cerevisiae (strain Lalvin QA23) GN=QA23_2848 PE=4 SV=1,8,NaN,NaN,0,8,8
479,>tr|E7LSY2|E7LSY2_YEASV Rtn1p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_0946 PE=4 SV=1,8,NaN,NaN,0,8,8
480,>tr|E7LUE3|E7LUE3_YEASV Acyl-CoA desaturase OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_1722 PE=3 SV=1,NaN,8,NaN,0,8,8
481,>tr|E7LYP2|E7LYP2_YEASV Psp2p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_3575 PE=4 SV=1,8,NaN,NaN,0,8,8
482,>tr|E7Q6F6|E7Q6F6_YEASB Nap1p OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_2954 PE=3 SV=2,NaN,NaN,8,0,8,8
483,>tr|E7Q7D7|E7Q7D7_YEASB Car2p OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_3419 PE=3 SV=1,8,NaN,NaN,0,8,8
484,>tr|E7QL58|E7QL58_YEASZ Ald4p OS=Saccharomyces cerevisiae (strain Zymaflore VL3) GN=VL3_4702 PE=3 SV=1,8,NaN,NaN,0,8,8
485,>tr|G2WAR8|G2WAR8_YEASK K7_Sec7p OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) GN=K7_SEC7 PE=4 SV=1,NaN,8,NaN,0,8,8
486,>tr|G2WJ19|G2WJ19_YEASK K7_Skg3p OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) GN=K7_SKG3 PE=4 SV=1,NaN,8,NaN,0,8,8
487,>tr|G2WLG1|G2WLG1_YEASK K7_Kri1p OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) GN=K7_KRI1 PE=4 SV=1,NaN,8,NaN,0,8,8
488,>sp|P36046|MIA40_YEAST Mitochondrial intermembrane space import and assembly protein 40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIA40 PE=1 SV=2,7,7,7,0,7,21
489,>sp|Q05515|SVF1_YEAST Survival factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SVF1 PE=1 SV=1,7,5,7,0,7,19
490,>sp|P05755|RS9B_YEAST 40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9B PE=1 SV=4,6,7,5,0,7,18
491,>sp|P25373|GLRX1_YEAST Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1,7,6,5,0,7,18
492,>sp|P38067|UGA2_YEAST Succinate-semialdehyde dehydrogenase [NADP(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UGA2 PE=1 SV=2,7,7,4,0,7,18
493,>sp|P13382|DPOA_YEAST DNA polymerase alpha catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL1 PE=1 SV=2,5,5,7,0,7,17
494,>sp|P48589|RS12_YEAST 40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS12 PE=1 SV=1,7,5,5,0,7,17
495,>sp|O60200|MDM35_YEAST Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDM35 PE=1 SV=3,7,4,5,0,7,16
496,>sp|P04147|PABP_YEAST Polyadenylate-binding protein- cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAB1 PE=1 SV=4,7,5,4,0,7,16
497,>sp|P15731|UBC4_YEAST Ubiquitin-conjugating enzyme E2 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC4 PE=1 SV=1,5,7,4,0,7,16
498,>sp|P27616|PUR7_YEAST Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE1 PE=1 SV=2,6,7,3,0,7,16
499,>sp|P32582|CBS_YEAST Cystathionine beta-synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYS4 PE=1 SV=1,7,6,3,0,7,16
500,>sp|P40106|GPP2_YEAST Glycerol-1-phosphate phosphohydrolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPP2 PE=1 SV=1,6,7,3,0,7,16
501,>sp|P54839|HMCS_YEAST Hydroxymethylglutaryl-CoA synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG13 PE=1 SV=1,5,7,4,0,7,16
502,>sp|Q12314|SFM1_YEAST Protein arginine N-methyltransferase SFM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFM1 PE=1 SV=1,4,7,5,0,7,16
503,>sp|Q92331|VPS5_YEAST Vacuolar protein sorting-associated protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS5 PE=1 SV=1,7,5,4,0,7,16
504,>sp|P32598|PP12_YEAST Serine/threonine-protein phosphatase PP1-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC7 PE=1 SV=1,7,4,4,0,7,15
505,>sp|P33307|CSE1_YEAST Importin alpha re-exporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSE1 PE=1 SV=2,3,7,5,0,7,15
506,>sp|P43612|SA155_YEAST SIT4-associating protein SAP155 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAP155 PE=1 SV=4,3,7,5,0,7,15
507,>sp|Q01574|ACS1_YEAST Acetyl-coenzyme A synthetase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACS1 PE=1 SV=2,7,5,3,0,7,15
508,>sp|Q04894|ADH6_YEAST NADP-dependent alcohol dehydrogenase 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH6 PE=1 SV=1,7,5,3,0,7,15
509,>sp|P09436|SYIC_YEAST Isoleucine--tRNA ligase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILS1 PE=1 SV=1,7,7,NaN,0,7,14
510,>sp|P24279|MCM3_YEAST DNA replication licensing factor MCM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM3 PE=1 SV=1,7,6,1,0,7,14
511,>sp|P32836|GSP2_YEAST GTP-binding nuclear protein GSP2/CNR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSP2 PE=1 SV=1,7,7,NaN,0,7,14
512,>sp|P41811|COPB2_YEAST Coatomer subunit beta' OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC27 PE=1 SV=1,7,NaN,7,0,7,14
513,>sp|P47047|MTR4_YEAST ATP-dependent RNA helicase DOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR4 PE=1 SV=1,7,5,2,0,7,14
514,>sp|Q07478|SUB2_YEAST ATP-dependent RNA helicase SUB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUB2 PE=1 SV=1,NaN,7,7,0,7,14
515,>sp|P39958|GDI1_YEAST Rab GDP-dissociation inhibitor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDI1 PE=1 SV=1,7,6,NaN,0,7,13
516,>sp|Q04947|RTN1_YEAST Reticulon-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTN1 PE=1 SV=1,NaN,6,7,0,7,13
517,>sp|P19262|ODO2_YEAST Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KGD2 PE=1 SV=2,4,7,1,0,7,12
518,>sp|P21147|ACO1_YEAST Acyl-CoA desaturase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLE1 PE=1 SV=2,7,NaN,5,0,7,12
519,>sp|P53889|FMP41_YEAST Uncharacterized mitochondrial hydrolase FMP41 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP41 PE=1 SV=1,2,7,3,0,7,12
520,>sp|Q06449|PIN3_YEAST [PSI+] inducibility protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIN3 PE=1 SV=1,5,7,NaN,0,7,12
521,>sp|Q12271|INP53_YEAST Polyphosphatidylinositol phosphatase INP53 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP53 PE=1 SV=1,5,7,NaN,0,7,12
522,>tr|C7GLK6|C7GLK6_YEAS2 Bre5p OS=Saccharomyces cerevisiae (strain JAY291) GN=BRE5 PE=4 SV=1,7,NaN,5,0,7,12
523,>sp|P05317|RLA0_YEAST 60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2,4,7,NaN,0,7,11
524,>sp|P24276|SSD1_YEAST Protein SSD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSD1 PE=1 SV=1,4,7,NaN,0,7,11
525,>sp|P33302|PDR5_YEAST Pleiotropic ABC efflux transporter of multiple drugs OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR5 PE=1 SV=1,NaN,7,4,0,7,11
526,>sp|P41895|T2FA_YEAST Transcription initiation factor IIF subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFG1 PE=1 SV=2,NaN,4,7,0,7,11
527,>sp|Q04491|SEC13_YEAST Protein transport protein SEC13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC13 PE=1 SV=1,7,2,2,0,7,11
528,>sp|P14737|RAD9_YEAST DNA repair protein RAD9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD9 PE=1 SV=2,3,7,NaN,0,7,10
529,>sp|P0C0W1|RS22A_YEAST 40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS22A PE=1 SV=2,7,2,NaN,0,7,9
530,>sp|P10961|HSF_YEAST Heat shock factor protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSF1 PE=1 SV=1,NaN,2,7,0,7,9
531,>sp|P25037|UBP1_YEAST Ubiquitin carboxyl-terminal hydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP1 PE=1 SV=2,NaN,7,2,0,7,9
532,>sp|P53858|BNI4_YEAST Protein BNI4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNI4 PE=1 SV=1,NaN,7,2,0,7,9
533,>sp|C8ZDR4|HRI1_YEAS8 Protein HRI1 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=HRI1 PE=3 SV=1,NaN,NaN,7,0,7,7
534,>sp|P22146|GAS1_YEAST 1-3-beta-glucanosyltransferase GAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAS1 PE=1 SV=2,NaN,NaN,7,0,7,7
535,>sp|P24031|PPA3_YEAST Constitutive acid phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO3 PE=1 SV=2,7,NaN,NaN,0,7,7
536,>sp|P25386|USO1_YEAST Intracellular protein transport protein USO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=USO1 PE=1 SV=2,NaN,NaN,7,0,7,7
537,>sp|P32835|GSP1_YEAST GTP-binding nuclear protein GSP1/CNR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSP1 PE=1 SV=1,NaN,NaN,7,0,7,7
538,>sp|P32892|DRS1_YEAST ATP-dependent RNA helicase DRS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DRS1 PE=1 SV=2,NaN,NaN,7,0,7,7
539,>sp|P38080|AKL1_YEAST Serine/threonine-protein kinase AKL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AKL1 PE=1 SV=1,7,NaN,NaN,0,7,7
540,>sp|P40159|YNU8_YEAST Uncharacterized protein YNL208W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL208W PE=1 SV=2,NaN,7,NaN,0,7,7
541,>sp|P53115|INO80_YEAST Putative DNA helicase INO80 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INO80 PE=1 SV=1,NaN,7,NaN,0,7,7
542,>sp|P53753|ENG1_YEAST Endo-1-3(4)-beta-glucanase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DSE4 PE=1 SV=1,7,NaN,NaN,0,7,7
543,>sp|Q06706|ELP1_YEAST Elongator complex protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IKI3 PE=1 SV=1,7,NaN,NaN,0,7,7
544,>tr|A0A023T3C1|A0A023T3C1_YEASX Sup35p OS=Saccharomyces cerevisiae GN=SUP35 PE=4 SV=1,NaN,7,NaN,0,7,7
545,>tr|A6ZL66|A6ZL66_YEAS7 Glycyl-tRNA synthetase OS=Saccharomyces cerevisiae (strain YJM789) GN=GRS1 PE=4 SV=1,NaN,NaN,7,0,7,7
546,>tr|A6ZNH9|A6ZNH9_YEAS7 Mitochondrial distribution and morphology OS=Saccharomyces cerevisiae (strain YJM789) GN=MDM38 PE=4 SV=1,NaN,NaN,7,0,7,7
547,>tr|B3LPH7|B3LPH7_YEAS1 Uncharacterized protein OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_03076 PE=4 SV=1,NaN,NaN,7,0,7,7
548,>tr|B3LR09|B3LR09_YEAS1 Uncharacterized protein OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_03938 PE=4 SV=1,NaN,7,NaN,0,7,7
549,>tr|B5VF81|B5VF81_YEAS6 YDL195Wp-like protein OS=Saccharomyces cerevisiae (strain AWRI1631) GN=AWRI1631_40500 PE=4 SV=1,NaN,NaN,7,0,7,7
550,>tr|B5VPA8|B5VPA8_YEAS6 YML017Wp-like protein OS=Saccharomyces cerevisiae (strain AWRI1631) GN=AWRI1631_131190 PE=4 SV=1,NaN,NaN,7,0,7,7
551,>tr|C8Z535|C8Z535_YEAS8 Vba4p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1D0_3730g PE=4 SV=1,7,NaN,NaN,0,7,7
552,>tr|C8Z7C8|C8Z7C8_YEAS8 Kap123p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1E8_2432g PE=4 SV=1,NaN,7,NaN,0,7,7
553,>tr|C8ZC27|C8ZC27_YEAS8 Succinate dehydrogenase [ubiquinone] flavoprotein subunit- mitochondrial OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1K5_0804g PE=3 SV=1,7,NaN,NaN,0,7,7
554,>tr|C8ZCW5|C8ZCW5_YEAS8 Drs1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1L10_0606g PE=3 SV=1,7,NaN,NaN,0,7,7
555,>tr|C8ZJC6|C8ZJC6_YEAS8 Fhl1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1P2_4291g PE=4 SV=1,7,NaN,NaN,0,7,7
556,>tr|E7KTF4|E7KTF4_YEASL Bni5p OS=Saccharomyces cerevisiae (strain Lalvin QA23) GN=QA23_4032 PE=4 SV=1,NaN,NaN,7,0,7,7
557,>tr|E7LRG9|E7LRG9_YEASV Ubiquitinyl hydrolase 1 OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_0220 PE=3 SV=1,7,NaN,NaN,0,7,7
558,>tr|E7LRJ0|E7LRJ0_YEASV Pho3p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_0248 PE=3 SV=1,NaN,7,NaN,0,7,7
559,>tr|E7LV85|E7LV85_YEASV Ded81p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_2073 PE=4 SV=1,NaN,7,NaN,0,7,7
560,>tr|E7LVL3|E7LVL3_YEASV Om45p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_2282 PE=4 SV=1,7,NaN,NaN,0,7,7
561,>tr|E7M021|E7M021_YEASV Psh1p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_4325 PE=4 SV=2,NaN,7,NaN,0,7,7
562,>tr|E7M0J9|E7M0J9_YEASV Rud3p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_4557 PE=4 SV=1,7,NaN,NaN,0,7,7
