Accession Number,DF1,EF1,DF2,EF2,DF3,EF3,DF4,EF4,DF5,EF5,DF6,EF6
P35732,1.99E-04,3.57E-01,1.55E-04,6.43E-01,1.83E-04,2.72E-01,7.92E-04,6.40E-01,1.13E-03,8.92E-01,1.32E-03,1.03E+00
P00958,---,---,2.03E-04,8.12E-01,2.50E-04,1.88E+00,5.29E-05,4.15E+00,3.22E-05,2.52E+00,1.71E-05,---
P0CX84,1.07E-03,1.51E+01,2.75E-03,1.24E+00,3.62E-03,1.62E+00,1.55E-03,3.43E+00,9.99E-04,3.36E+00,9.06E-04,1.28E+00
P38205,7.79E-05,---,1.11E-04,1.01E+00,9.36E-05,1.04E+00,---,---,---,---,---,---
P07244,1.15E-04,1.08E+01,3.96E-04,1.86E+00,3.05E-04,1.83E+00,---,---,---,---,---,---
Q05022,---,---,1.46E-05,2.69E+00,4.16E-05,2.32E+00,---,---,---,---,---,---
P17709,1.69E-03,2.31E+01,8.65E-04,1.04E+00,7.31E-04,1.07E+00,1.90E-04,1.70E+00,2.15E-04,5.83E+00,2.21E-04,3.90E+00
P31787,1.58E-04,1.23E-02,4.53E-03,4.57E-01,2.52E-03,3.08E-01,2.77E-03,2.30E-01,7.30E-03,5.71E-01,5.90E-03,4.36E-01
P09938,1.17E-03,1.32E+01,3.19E-04,3.62E-01,8.12E-04,9.80E-01,1.27E-03,4.50E+00,9.89E-04,4.74E+00,9.29E-04,4.38E+00
P08566,---,---,4.00E-05,---,8.56E-05,2.17E+00,---,---,---,---,---,---
P25567,0.00E+00,0.00E+00,1.76E-04,2.76E-01,5.00E-05,9.14E-02,0.00E+00,0.00E+00,5.49E-05,2.14E-01,2.75E-05,1.15E-01
P37898,6.17E-04,---,2.07E-04,3.67E-01,1.72E-04,5.12E-01,2.17E-04,---,8.33E-05,---,2.16E-04,---
P21954,2.09E-04,---,2.68E-04,4.46E-01,8.07E-04,1.95E+00,9.28E-05,---,0.00E+00,---,1.20E-04,---
P0CX41,1.14E-03,---,1.12E-03,2.02E+00,2.68E-03,3.66E+00,8.71E-04,6.23E+00,6.08E-04,4.47E+00,6.25E-04,9.13E+00
P06634,---,---,4.84E-04,9.95E+00,9.61E-04,5.93E+01,---,---,---,---,---,---
P46672,5.24E-04,5.66E+00,9.13E-04,1.34E+00,7.92E-04,9.30E-01,8.38E-04,2.63E+00,4.15E-04,1.14E+00,4.17E-04,1.39E+00
P30952,---,---,1.60E-04,3.89E-01,4.74E-04,2.33E+00,7.43E-05,---,6.39E-05,---,1.82E-04,---
Q03195,---,---,1.47E-04,2.39E+00,3.07E-04,1.98E+00,---,---,---,---,---,---
P53090,1.58E-03,2.26E+01,6.36E-04,5.31E-01,6.11E-04,8.69E-01,7.07E-04,2.98E+00,4.05E-04,1.23E+00,6.47E-04,2.31E+00
P07342,---,---,5.53E-05,3.63E-01,8.25E-05,3.91E-01,---,---,---,---,---,---
P00830,4.35E-04,8.20E+00,1.09E-03,2.26E+00,9.36E-04,1.50E+00,1.06E-04,1.98E+00,1.17E-04,1.60E+00,1.17E-04,---
P13663,1.21E-03,---,8.36E-04,1.19E+00,9.64E-04,1.47E+00,8.08E-04,---,1.96E-04,---,3.52E-04,---
P25491,1.59E-04,1.82E+00,3.42E-04,6.43E-01,4.49E-04,1.37E+00,3.16E-04,---,1.18E-04,5.43E+00,2.68E-04,---
P06787,1.75E-04,1.73E-02,6.04E-04,1.18E-01,1.16E-03,2.01E-01,1.77E-03,1.31E-01,1.39E-03,9.95E-02,8.40E-04,4.61E-02
O14467,5.20E-04,2.21E+00,2.61E-03,8.39E+00,1.84E-03,2.25E+00,1.30E-03,1.09E+01,8.74E-04,3.65E+00,5.55E-04,4.56E+00
P38701,1.84E-03,6.15E+00,2.84E-03,8.43E-01,3.19E-03,1.33E+00,2.30E-03,1.54E+01,1.68E-03,2.25E+01,1.32E-03,1.71E+01
P39522,---,---,2.61E-04,4.73E-01,5.26E-04,1.14E+00,8.98E-05,---,8.26E-05,---,2.06E-05,---
P40185,4.33E-03,5.49E-01,1.93E-03,4.15E-01,1.89E-03,3.68E-01,5.72E-03,3.50E-01,6.85E-03,3.72E-01,6.41E-03,3.37E-01
P39683,1.20E-04,---,2.99E-05,6.72E-02,5.06E-05,1.60E-01,---,---,---,---,---,---
P29547,1.24E-04,---,2.75E-04,2.00E-01,6.73E-04,6.47E-01,---,---,---,---,---,---
P26785,4.62E-04,5.35E+00,2.37E-03,1.27E+00,3.63E-03,3.20E+00,4.59E-04,---,4.24E-04,---,2.42E-04,---
P42943,---,---,1.62E-04,7.78E-01,2.20E-04,1.30E+00,---,---,---,---,---,---
P38708,1.34E-04,1.07E+01,2.22E-04,2.02E+00,2.15E-04,2.88E+00,9.70E-05,3.72E+00,6.97E-05,2.60E+00,1.22E-04,8.77E+00
P32527,5.97E-05,---,1.77E-04,4.71E-01,5.30E-04,1.70E+00,2.40E-04,3.69E+00,1.67E-04,2.57E+00,8.34E-05,7.74E-01
P02293,3.40E-03,6.32E+00,1.84E-03,6.53E-01,3.67E-03,2.61E+00,1.70E-03,2.66E+00,1.09E-03,4.02E+00,1.50E-03,2.09E+00
P27476,1.31E-03,---,3.07E-04,3.73E-01,4.93E-04,7.75E-01,1.01E-03,3.02E+00,8.38E-04,4.89E+00,7.37E-04,2.17E+00
Q3E792,---,---,2.47E-03,9.71E-01,2.42E-03,1.70E+00,---,---,---,---,---,---
P16120,1.11E-03,2.22E+01,5.19E-04,8.27E-01,2.22E-04,3.02E-01,7.87E-04,8.78E+00,7.42E-04,1.05E+01,7.65E-04,4.19E+01
P40414,0.00E+00,0.00E+00,5.54E-04,2.08E-01,3.71E-04,1.07E-01,4.85E-04,1.02E-01,7.40E-04,1.29E-01,6.75E-04,1.27E-01
P47120,2.88E-04,1.09E+01,3.14E-04,1.92E-01,7.60E-05,4.33E-02,1.27E-04,1.13E+00,7.51E-05,5.40E-01,0.00E+00,0.00E+00
P32497,6.27E-05,---,9.40E-05,9.96E-01,6.48E-05,1.70E+00,3.49E-05,2.36E-01,1.19E-04,4.24E-01,1.48E-05,6.47E-02
P06367,8.68E-04,1.30E+01,2.78E-03,1.03E+00,3.87E-03,2.04E+00,9.73E-04,1.48E+01,1.73E-04,1.28E+00,7.38E-04,---
P31539,---,---,1.82E-04,1.93E+00,1.94E-04,5.57E+00,1.61E-04,1.77E+00,5.23E-05,3.45E-01,9.35E-05,6.01E-01
P08524,1.21E-03,---,9.03E-04,7.13E-01,7.68E-04,5.24E-01,9.04E-04,3.50E+01,8.16E-04,---,8.10E-04,---
P02406,2.63E-04,---,1.62E-03,5.75E-01,2.57E-03,1.05E+00,6.19E-04,---,2.40E-04,---,1.66E-04,---
P54839,5.06E-04,---,8.28E-04,1.58E+00,7.10E-04,1.41E+00,1.94E-04,---,0.00E+00,---,7.84E-05,---
P15624,1.11E-04,---,4.70E-04,1.40E+00,2.46E-04,4.59E-01,6.67E-05,---,0.00E+00,---,0.00E+00,---
P48836,5.63E-04,9.05E-02,4.46E-03,2.44E+00,2.03E-03,6.09E-01,2.52E-03,3.68E-01,3.80E-03,5.46E-01,3.52E-03,5.21E-01
P23542,1.16E-03,---,8.51E-04,1.87E+00,9.51E-04,2.79E+00,6.82E-04,2.98E+01,2.89E-05,---,2.39E-04,---
P32316,---,---,2.65E-04,6.68E-01,3.16E-04,1.74E+00,1.98E-03,1.92E+01,1.89E-03,---,1.87E-03,5.14E+01
P05749,2.82E-03,---,3.04E-03,8.83E-01,1.87E-03,4.39E-01,---,---,---,---,---,---
P29509,1.08E-03,4.02E+01,9.17E-04,1.70E+00,1.26E-03,1.24E+00,6.68E-04,---,5.99E-04,---,2.66E-04,---
P53252,1.53E-04,---,1.09E-03,1.94E+00,8.55E-04,1.42E+00,1.51E-04,5.70E+00,3.60E-05,1.27E+00,0.00E+00,0.00E+00
P46367,4.91E-05,---,6.86E-04,1.44E+00,1.45E-04,2.31E-01,4.93E-05,2.85E+00,6.70E-05,3.84E+00,7.25E-05,---
Q12074,1.70E-03,1.84E+01,1.17E-03,9.05E-01,8.55E-04,5.41E-01,1.44E-03,9.23E+00,1.22E-03,1.99E+01,1.47E-03,9.15E+00
P37303,3.69E-04,---,6.56E-04,1.03E+00,4.40E-04,9.15E-01,---,---,---,---,---,---
P39676,6.90E-04,---,7.97E-04,8.39E-01,7.26E-04,9.14E-01,---,---,---,---,---,---
P32499,0.00E+00,0.00E+00,3.88E-04,9.86E+00,1.38E-04,5.39E-01,1.97E-04,1.10E+00,5.82E-04,2.64E+00,3.53E-04,1.13E+00
P54885,---,---,2.51E-04,5.47E-01,1.99E-04,3.65E-01,1.21E-04,---,7.97E-05,---,0.00E+00,---
P04037,1.01E-03,2.11E-01,1.81E-03,8.19E-01,1.78E-03,5.22E-01,1.12E-02,1.10E+00,1.46E-02,1.81E+00,1.51E-02,1.96E+00
P53978,5.02E-04,1.91E+01,5.85E-04,1.53E+00,6.40E-04,1.66E+00,1.14E-04,---,0.00E+00,0.00E+00,8.43E-05,---
P28777,5.68E-04,---,9.46E-04,2.35E+00,8.10E-04,1.63E+00,1.02E-03,1.38E+01,9.85E-04,4.10E+00,9.13E-04,9.28E+00
P07262,1.89E-03,---,6.72E-04,5.27E-01,1.06E-03,1.46E+00,1.34E-03,1.14E+00,1.14E-03,7.62E-01,1.16E-03,8.55E-01
P48510,0.00E+00,0.00E+00,1.71E-04,2.03E-01,5.82E-05,7.25E-02,0.00E+00,0.00E+00,1.89E-03,1.19E+00,1.63E-03,9.84E-01
Q07653,1.85E-04,2.46E-01,0.00E+00,0.00E+00,6.35E-05,2.13E+00,1.76E-03,5.41E+00,2.10E-03,5.01E+00,2.17E-03,5.76E+00
Q12000,---,---,3.31E-04,---,2.33E-04,2.05E+00,2.22E-04,---,1.41E-04,---,3.72E-05,1.39E+00
Q3E764,8.49E-03,3.74E+00,1.98E-03,1.03E+00,1.78E-03,1.87E+00,1.04E-03,1.18E+00,1.87E-03,2.17E+00,1.71E-03,1.95E+00
P20081,3.33E-03,6.36E-01,3.57E-03,1.16E+00,1.87E-03,5.18E-01,5.37E-03,2.36E+00,5.54E-03,2.37E+00,5.27E-03,1.88E+00
P16547,0.00E+00,0.00E+00,1.62E-04,---,4.36E-04,2.35E+00,1.54E-03,9.77E-01,3.29E-03,2.76E+00,3.17E-03,2.78E+00
P07263,1.17E-04,6.89E+00,3.26E-04,1.58E+00,5.23E-04,5.35E+00,---,---,---,---,---,---
P20449,---,---,0.00E+00,0.00E+00,6.64E-05,2.60E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P37012,1.97E-03,---,2.91E-04,1.09E+00,4.41E-04,1.63E+00,2.62E-03,1.61E+01,1.63E-03,1.70E+01,1.77E-03,1.78E+01
P38788,1.97E-04,3.03E+00,2.84E-04,5.02E-01,3.09E-04,4.88E-01,2.16E-04,1.15E+00,8.85E-05,6.48E-01,1.37E-04,2.57E+00
P22137,2.37E-05,---,5.39E-05,3.47E-01,3.39E-05,5.96E-01,---,---,---,---,---,---
P08417,1.06E-04,---,7.30E-04,2.35E+00,6.97E-04,2.22E+00,---,---,---,---,---,---
P25375,1.50E-04,---,1.80E-05,8.48E-02,3.31E-05,1.61E-01,---,---,---,---,---,---
P14120,1.12E-03,---,4.24E-03,1.07E+00,4.08E-03,1.26E+00,7.57E-04,---,6.83E-04,---,5.79E-04,---
Q03048,4.15E-03,1.89E+00,4.89E-03,2.36E+00,2.53E-03,9.28E-01,4.90E-03,3.78E+00,3.77E-03,2.09E+00,3.92E-03,2.85E+00
Q03558,2.27E-03,---,6.42E-05,4.15E-02,6.64E-05,3.94E-02,8.02E-04,3.57E+01,2.43E-04,---,7.55E-04,---
P38910,2.21E-03,4.91E-01,2.88E-03,9.17E-01,1.46E-03,5.48E-01,6.86E-03,1.52E+00,5.42E-03,9.21E-01,5.08E-03,8.98E-01
Q12019,---,---,---,---,4.65E-06,1.11E+00,1.13E-05,---,1.24E-05,6.32E+00,1.50E-05,8.00E+00
Q07551,5.53E-04,---,4.48E-04,8.18E-01,8.62E-04,1.64E+00,1.73E-04,---,0.00E+00,---,4.11E-05,---
Q12305,6.65E-04,9.75E-02,1.28E-03,1.10E+00,1.87E-03,8.44E-01,9.49E-04,7.98E-01,2.67E-03,3.14E+00,2.57E-03,4.24E+00
P00445,2.57E-03,1.34E-01,2.56E-03,8.68E-01,1.92E-03,6.93E-01,8.94E-03,7.05E-01,1.38E-02,1.61E+00,1.37E-02,1.70E+00
P37302,2.17E-04,3.64E-01,9.49E-05,1.45E-01,1.46E-04,2.38E-01,9.78E-05,3.78E-01,3.57E-04,2.08E+00,4.75E-04,2.11E+00
P17891,9.02E-04,7.52E-02,2.72E-04,1.85E-01,2.39E-04,1.79E-01,2.80E-04,7.97E-02,9.76E-04,2.43E-01,5.73E-04,1.60E-01
Q01560,6.09E-04,3.19E+00,9.23E-04,1.26E+00,4.41E-04,5.35E-01,7.00E-04,1.55E+01,4.32E-04,2.02E+01,3.80E-04,1.71E+01
P05318,3.93E-03,3.37E-01,2.64E-03,2.03E-01,8.90E-04,1.42E-01,2.14E-03,1.10E-01,2.35E-03,1.11E-01,3.27E-03,1.57E-01
P07246,5.55E-04,---,4.75E-04,2.72E+00,4.57E-04,3.45E-01,6.71E-03,3.90E+00,6.76E-03,3.50E+00,6.44E-03,3.39E+00
Q04439,2.09E-05,4.73E-01,---,---,3.27E-05,7.78E-01,---,---,---,---,---,---
P54838,5.20E-04,---,1.96E-04,4.47E-01,4.23E-05,1.62E-01,---,---,---,---,---,---
P06103,---,---,3.34E-05,8.83E-01,1.35E-04,2.40E+00,---,---,---,---,---,---
P15454,1.04E-03,1.83E+00,2.24E-03,2.11E+00,1.00E-03,7.54E-01,6.31E-04,7.57E-01,3.84E-04,4.64E-01,4.58E-04,4.35E-01
P29453,4.04E-04,---,4.67E-03,9.26E-01,6.59E-03,1.61E+00,1.55E-03,---,7.03E-04,1.99E+01,4.71E-04,6.56E+00
P32599,---,---,5.92E-05,4.01E-01,1.58E-04,1.11E+00,6.19E-05,3.90E-01,0.00E+00,0.00E+00,4.00E-05,4.56E-01
P0CX25,8.35E-04,---,4.01E-03,3.50E+00,4.55E-03,2.41E+00,8.64E-04,---,3.85E-04,---,2.70E-04,---
P36049,5.20E-04,1.89E+00,1.79E-04,---,6.22E-05,1.99E-01,3.00E-05,3.50E-01,4.22E-04,6.77E+00,3.64E-04,5.64E+00
P38625,9.96E-05,---,2.42E-04,3.33E+00,5.30E-04,4.61E+00,7.58E-05,4.43E+00,9.13E-05,---,6.86E-05,---
P28272,1.30E-03,---,1.01E-03,1.39E+00,9.51E-04,1.08E+00,---,---,---,---,---,---
P41921,6.26E-04,---,0.00E+00,0.00E+00,1.60E-04,4.16E-01,1.09E-04,---,7.56E-05,---,7.62E-05,---
P32449,1.03E-03,---,6.87E-04,1.12E+00,7.13E-04,1.83E+00,1.55E-03,7.87E+00,1.00E-03,2.70E+00,1.23E-03,4.42E+00
P47176,3.13E-04,1.38E+01,3.04E-04,7.48E-01,3.92E-04,1.09E+00,7.18E-05,2.82E+00,0.00E+00,0.00E+00,0.00E+00,---
P09440,---,---,2.60E-05,1.92E-01,1.48E-04,2.90E+00,3.94E-05,---,0.00E+00,---,6.24E-05,6.49E+00
Q02326,1.45E-04,---,3.32E-03,1.31E+00,4.74E-03,2.62E+00,---,---,---,---,---,---
Q02486,1.41E-03,1.45E+01,8.33E-04,1.07E+00,1.79E-03,2.31E+00,1.13E-03,1.18E+00,1.38E-03,1.85E+00,1.20E-03,1.67E+00
Q08745,---,---,3.03E-03,1.08E+00,2.28E-03,1.06E+00,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P38115,1.68E-03,---,5.91E-04,1.44E+00,8.19E-04,2.14E+00,1.75E-03,---,9.73E-04,1.81E+01,1.08E-03,1.34E+01
P49166,2.20E-03,---,1.88E-03,6.74E-01,6.25E-03,1.78E+00,5.90E-03,---,2.57E-03,8.07E+00,2.10E-03,---
P34223,0.00E+00,0.00E+00,5.10E-04,1.42E+00,0.00E+00,0.00E+00,1.27E-04,3.46E-01,5.37E-04,2.24E+00,5.97E-04,6.70E+00
P32503,---,---,---,---,4.11E-04,1.14E+00,---,---,---,---,---,---
P09064,1.79E-04,1.59E-01,5.34E-04,6.70E-01,2.02E-04,4.22E-01,5.98E-04,5.80E-01,6.30E-04,5.18E-01,5.20E-04,4.39E-01
P05739,---,---,3.11E-03,1.31E+00,4.54E-03,2.23E+00,---,---,---,---,---,---
P28834,---,---,2.82E-04,1.52E+00,6.44E-04,7.47E+00,---,---,---,---,---,---
P33399,1.08E-03,6.80E+00,2.33E-04,7.44E-01,2.08E-04,2.64E-01,1.15E-03,4.29E+00,6.98E-04,1.61E+00,5.29E-04,2.22E+00
Q08225,9.06E-05,---,8.95E-05,8.45E-01,4.82E-05,3.04E-01,7.58E-05,9.65E-01,1.72E-05,6.89E-01,5.30E-05,---
P38075,4.63E-04,---,8.36E-04,1.83E+00,9.29E-04,1.59E+00,---,---,---,---,---,---
P16387,---,---,9.08E-05,6.66E-01,1.84E-04,1.50E+00,0.00E+00,---,2.76E-05,---,9.17E-05,2.07E+00
P48570,---,---,1.78E-04,8.96E-01,4.19E-04,1.94E+00,5.98E-05,---,5.67E-05,---,5.63E-05,1.30E+00
P32327,1.22E-04,1.68E+01,2.16E-04,1.40E+00,2.10E-04,9.23E-01,5.78E-05,---,6.04E-05,---,6.30E-05,---
P26786,6.18E-04,4.23E+00,3.95E-03,1.84E+00,4.02E-03,1.85E+00,8.83E-04,---,8.85E-04,---,6.94E-04,---
P21576,---,---,2.89E-04,1.09E+01,3.29E-04,---,1.82E-05,1.26E-01,1.71E-04,1.09E+00,1.03E-04,7.76E-01
P43590,3.16E-04,---,2.61E-04,2.12E+00,2.64E-04,1.35E+00,2.95E-04,---,2.47E-04,---,3.01E-04,---
P11154,1.33E-04,---,1.83E-04,1.62E+00,1.64E-04,1.00E+00,1.39E-04,---,1.01E-04,---,8.41E-05,---
P13298,6.37E-04,---,9.56E-04,1.27E+00,1.02E-03,9.00E-01,5.97E-04,1.41E+01,6.32E-04,---,6.06E-04,7.17E+00
P03965,---,---,1.02E-04,2.96E+00,1.34E-04,3.59E+00,---,---,---,---,---,---
P38912,7.57E-03,7.02E-01,2.75E-03,2.77E+00,8.45E-04,6.21E-01,2.64E-03,1.63E+00,3.74E-03,4.09E+00,3.52E-03,2.60E+00
P50095,6.32E-04,1.93E+01,1.14E-03,1.71E+00,1.47E-03,1.62E+00,7.68E-04,5.48E+00,3.44E-04,2.80E+00,2.37E-04,1.65E+00
P38697,---,---,4.86E-04,1.42E+00,8.37E-04,1.51E+00,3.12E-04,---,4.67E-05,---,0.00E+00,0.00E+00
P50094,---,---,9.94E-04,1.42E+00,1.32E-03,1.82E+00,8.97E-04,1.27E+01,3.66E-04,2.34E+00,2.40E-04,3.34E+00
Q12230,2.63E-04,---,1.04E-03,3.46E+00,4.85E-04,7.69E-01,1.92E-04,---,1.75E-04,---,1.76E-04,---
P15274,---,---,0.00E+00,0.00E+00,2.68E-05,2.07E-01,---,---,---,---,---,---
P37291,8.44E-05,1.46E+00,3.79E-04,2.36E+00,5.98E-04,9.09E+00,8.76E-05,---,7.42E-05,---,1.02E-04,---
Q04500,1.00E-04,1.41E+00,1.70E-04,1.62E+01,3.77E-05,1.07E+00,1.61E-04,5.13E+00,1.34E-04,6.46E+00,2.45E-04,2.35E+01
P24783,---,---,4.63E-05,3.28E-01,4.12E-04,1.11E+01,2.34E-05,---,0.00E+00,---,8.76E-05,---
P26784,---,---,1.73E-03,1.51E+00,2.84E-03,4.68E+00,---,---,---,---,---,---
P0CX29,---,---,1.14E-03,2.15E+00,2.18E-03,5.05E+00,9.77E-05,---,3.28E-04,---,1.72E-04,2.70E+00
P45978,0.00E+00,0.00E+00,4.00E-04,4.97E+00,1.44E-04,3.43E-01,1.50E-04,1.92E+00,3.39E-04,2.57E+00,4.15E-04,5.24E+00
P22217,2.04E-03,4.01E-01,1.85E-03,5.02E-01,2.73E-03,6.83E-01,4.44E-03,1.13E+00,4.65E-03,9.81E-01,4.50E-03,1.15E+00
P38431,---,---,0.00E+00,0.00E+00,8.64E-05,4.76E-01,9.48E-05,2.78E-01,3.24E-04,2.03E+00,2.66E-04,7.17E-01
P25719,4.39E-03,1.28E+00,3.08E-03,3.11E+00,2.39E-03,3.30E+00,6.61E-03,5.44E+00,7.55E-03,6.23E+00,7.19E-03,6.06E+00
P40069,0.00E+00,0.00E+00,7.98E-05,6.70E-01,8.24E-05,1.45E+00,1.15E-05,7.05E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P25631,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.23E-04,---,2.70E-04,3.20E+00
P41920,0.00E+00,0.00E+00,6.30E-05,6.04E-02,3.57E-04,3.02E-01,0.00E+00,0.00E+00,1.79E-04,4.32E-01,0.00E+00,0.00E+00
P39533,---,---,3.21E-05,3.82E-01,5.50E-05,2.05E+00,---,---,---,---,---,---
P38845,7.31E-04,1.08E+00,1.63E-04,5.68E-01,1.36E-04,4.70E-01,1.29E-03,1.33E+00,5.65E-04,4.49E-01,4.97E-04,3.58E-01
P00815,1.16E-04,---,2.23E-04,1.05E+00,0.00E+00,0.00E+00,---,---,---,---,---,---
P11076,5.12E-04,---,7.03E-04,3.37E+00,1.94E-03,6.73E+00,2.12E-04,---,3.30E-04,6.59E+00,3.32E-04,3.18E+00
P53141,2.71E-04,1.84E-02,1.37E-03,3.56E-01,3.61E-04,1.24E-01,3.43E-04,5.77E-02,3.19E-04,4.15E-02,1.62E-04,1.96E-02
Q03161,1.03E-03,---,5.14E-04,8.87E-01,5.47E-04,7.13E-01,3.63E-04,---,4.11E-05,---,4.32E-05,---
Q01662,---,---,2.63E-04,1.19E+00,4.72E-04,3.50E+00,---,---,---,---,---,---
Q08972,---,---,---,---,1.54E-04,---,---,---,---,---,---,---
P52553,0.00E+00,0.00E+00,5.57E-04,1.55E-01,2.00E-04,5.00E-02,1.25E-03,2.97E-01,1.25E-03,2.68E-01,1.07E-03,2.14E-01
P53184,1.52E-03,---,4.72E-04,4.49E-01,6.00E-04,6.27E-01,1.03E-03,6.01E+00,9.41E-04,1.15E+01,9.71E-04,1.14E+01
P22138,---,---,---,---,9.49E-06,5.34E-01,---,---,---,---,---,---
P47079,---,---,1.12E-04,3.43E+00,2.57E-04,1.49E+01,---,---,---,---,---,---
P40037,5.82E-03,2.18E-01,1.77E-03,6.18E-01,6.08E-04,1.61E-01,9.58E-03,1.81E+00,9.07E-03,1.82E+00,9.70E-03,1.63E+00
P30624,---,---,---,---,2.41E-04,---,---,---,---,---,---,---
P38219,---,---,3.23E-04,1.30E+01,6.60E-04,1.33E+01,---,---,---,---,---,---
P40024,---,---,1.88E-04,---,3.63E-04,---,---,---,---,---,---,---
P15108,1.04E-03,5.60E+00,1.14E-03,6.25E-01,1.55E-03,7.67E-01,2.34E-03,2.09E+00,2.17E-03,2.12E+00,2.08E-03,2.40E+00
P23255,---,---,---,---,8.11E-06,2.25E-01,---,---,---,---,---,---
P32521,0.00E+00,0.00E+00,3.46E-05,---,2.49E-05,1.74E+00,2.60E-05,1.36E+00,3.20E-05,1.77E+00,4.10E-05,---
P00331,9.31E-03,1.39E+01,3.15E-03,7.36E-01,2.94E-03,4.81E-01,2.90E-03,3.14E+00,2.34E-03,3.18E+00,2.68E-03,4.97E+00
P12385,---,---,1.46E-04,1.71E+00,2.00E-04,4.10E+00,---,---,---,---,---,---
O14455,3.22E-03,6.28E+00,7.75E-03,2.72E+00,1.26E-02,3.60E+00,8.95E-03,1.23E+01,7.43E-03,1.14E+01,6.98E-03,1.25E+01
P11745,---,---,---,---,3.37E-04,1.91E+00,6.96E-05,---,0.00E+00,---,2.96E-05,---
Q04894,3.33E-04,---,5.30E-04,1.34E+00,4.04E-04,1.27E+00,1.18E-04,---,0.00E+00,---,0.00E+00,---
P38248,2.73E-04,2.12E-01,2.68E-04,5.03E-01,3.62E-04,6.83E-01,1.55E-04,3.12E-01,1.40E-04,2.83E-01,2.30E-04,4.05E-01
P06208,---,---,1.23E-04,1.14E+00,1.49E-04,1.26E+00,---,---,---,---,---,---
Q3E772,4.73E-03,4.08E+00,9.67E-04,1.88E+00,1.40E-03,1.05E+00,6.95E-04,---,9.13E-04,---,1.06E-03,---
P39958,2.04E-04,5.20E+00,1.69E-04,8.98E-01,2.47E-04,1.52E+00,---,---,---,---,---,---
P53551,9.87E-05,---,5.91E-04,2.31E+00,1.44E-03,---,---,---,---,---,---,---
P06106,7.37E-04,3.83E+01,1.72E-04,2.02E-01,1.39E-04,2.46E-01,---,---,---,---,---,---
P14742,---,---,---,---,2.08E-04,1.42E+01,---,---,---,---,---,---
P10622,2.23E-03,8.64E-02,7.21E-04,6.92E-02,6.60E-04,1.31E-01,1.51E-03,3.08E-02,2.50E-03,4.35E-02,1.39E-03,2.51E-02
P40075,6.97E-04,2.44E+00,5.22E-04,5.35E-01,4.97E-04,6.16E-01,2.79E-04,9.22E-01,1.99E-04,3.53E-01,1.05E-04,1.82E-01
P23201,8.69E-06,4.97E-01,0.00E+00,0.00E+00,2.31E-05,1.58E+00,0.00E+00,0.00E+00,3.24E-05,1.33E+00,5.77E-05,2.23E+00
P39726,0.00E+00,0.00E+00,1.13E-03,9.63E-01,6.04E-04,4.13E-01,3.02E-04,6.94E-01,6.27E-04,2.97E+00,0.00E+00,0.00E+00
P43582,6.04E-05,2.75E-02,1.81E-04,5.71E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E-04,1.30E+00,2.92E-04,1.65E+00
P12945,---,---,---,---,2.54E-05,6.80E-01,---,---,---,---,---,---
P38968,5.03E-05,---,4.99E-05,5.59E-01,2.09E-05,1.31E+00,2.23E-05,3.11E-01,0.00E+00,0.00E+00,9.46E-06,1.42E-01
P40032,---,---,9.88E-05,---,1.07E-04,2.16E+00,---,---,---,---,---,---
Q07878,---,---,4.02E-06,6.46E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.69E-06,2.53E-01,0.00E+00,0.00E+00
P17106,3.63E-05,5.27E-02,3.99E-04,2.94E+00,3.78E-05,8.48E-02,4.04E-05,1.90E-01,1.02E-04,1.00E+00,2.12E-04,1.99E+00
P06101,2.52E-05,1.41E-01,2.50E-04,9.58E-01,2.94E-04,---,1.29E-04,3.57E-01,1.13E-03,3.47E+00,1.11E-03,2.38E+00
Q04947,3.08E-04,2.24E-01,4.31E-04,6.67E+00,3.52E-04,5.94E-01,2.58E-03,2.81E+00,3.40E-03,2.68E+00,3.90E-03,3.40E+00
P36136,3.89E-04,---,2.81E-04,3.37E-01,2.89E-04,4.01E-01,---,---,---,---,---,---
P50263,0.00E+00,0.00E+00,---,---,1.55E-03,---,6.83E-04,8.55E-01,1.35E-03,1.11E+01,1.53E-03,6.50E+00
Q06146,0.00E+00,0.00E+00,6.33E-04,1.53E+00,4.14E-04,5.59E-01,1.72E-03,9.70E-01,3.50E-03,2.92E+00,3.69E-03,3.16E+00
P27616,---,---,6.25E-04,3.40E+00,2.19E-04,1.08E+00,---,---,---,---,---,---
P16550,---,---,0.00E+00,0.00E+00,2.15E-04,1.11E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E-05,3.77E-01
P33322,---,---,2.90E-04,3.00E+00,1.85E-04,9.14E+00,---,---,---,---,---,---
P41818,8.51E-04,1.75E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.73E-04,2.50E-01,3.24E-03,7.90E-01,3.30E-03,8.23E-01
