,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK1 PE=1 SV=2,HXK1 HKA YFR053C,P04806,5.28,485,53738.41,2,Carbohydrate metabolism; hexose metabolism. ,0,ATP binding; cytosol; fructose import; fructose metabolic process; glucose import; glycolysis; hexokinase activity; mannose metabolic process; mitochondrion,2.61E-03,1.91E-03,1.89E-05,3.27E-05,1.38E+02,9.17E-04,3.84E-05,1.19E-03,2.84E-04,7.68E-01,1.45E-03,3.60E-04,1.38E-03,1.21E-04,1.05E+00,1.68E-03,4.71E-04,1.31E-04,2.27E-04,1.28E+01,1.09E-03,1.71E-04,3.70E-05,3.20E-05,2.94E+01,1.02E-03,2.89E-04,5.76E-05,5.69E-05,1.77E+01,
5'-3' exoribonuclease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=XRN1 PE=1 SV=1,XRN1 DST2 KEM1 RAR5 SEP1 SKI1 YGL173C G1645,P22147,7.04,1528,175459.83,3,0,Cytoplasm. Cytoplasm â€º perinuclear region. Cytoplasm â€º P-body. ,"5'-3' exoribonuclease activity; RNA binding; cytoplasmic mRNA processing body; cytosol; deoxyribonuclease activity; karyogamy; microtubule; nonfunctional rRNA decay; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; perinuclear region of cytoplasm; rRNA processing; traversing start control point of mitotic cell cycle",---,---,---,---,---,8.32E-05,1.40E-05,5.55E-05,3.09E-05,1.50E+00,1.40E-04,5.44E-05,6.78E-05,1.32E-05,2.06E+00,0.00E+00,0.00E+00,5.88E-06,1.02E-05,0.00E+00,7.59E-06,1.31E-05,0.00E+00,0.00E+00,---,1.58E-05,2.73E-05,0.00E+00,0.00E+00,---,
"6-phosphogluconate dehydrogenase, decarboxylating 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GND1 PE=1 SV=1",GND1 YHR183W,P38720,6.19,489,53543.25,1,Carbohydrate degradation; pentose phosphate pathway; D-ribulose 5-phosphate from D-glucose 6-phosphate (oxidative stage): step 3/3. ,Cytoplasm. ,"D-gluconate metabolic process; NADP binding; cellular response to oxidative stress; mitochondrion; pentose-phosphate shunt, oxidative branch; phosphogluconate dehydrogenase (decarboxylating) activity",2.13E-03,4.20E-04,0.00E+00,0.00E+00,---,2.00E-03,4.67E-04,2.02E-03,1.59E-04,9.91E-01,1.75E-03,3.58E-04,2.34E-03,2.79E-04,7.50E-01,1.61E-03,3.47E-04,1.69E-04,1.47E-04,9.51E+00,5.37E-04,2.76E-05,5.48E-05,5.44E-05,9.81E+00,8.21E-04,7.22E-04,5.72E-05,5.75E-05,1.44E+01,
Translational activator GCN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN1 PE=1 SV=1,GCN1 YGL195W G1318,P33892,5.16,2672,296698.22,0,0,0,cytosolic ribosome; mitochondrion; regulation of translational elongation,---,---,---,---,---,7.14E-05,3.78E-05,1.07E-05,2.91E-07,6.70E+00,1.66E-04,4.05E-05,1.83E-05,3.17E-05,9.07E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00,7.18E-06,1.24E-05,0.00E+00,0.00E+00,0.00E+00,3.51E-06,6.08E-06,0.00E+00,
"Lysine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRS1 PE=1 SV=2",KRS1 GCD5 YDR037W YD9673.09,P15180,5.78,591,67827.36,6,0,Cytoplasm. ,ATP binding; cytoplasm; lysine-tRNA ligase activity; lysyl-tRNA aminoacylation; nucleic acid binding,2.20E-04,7.00E-05,3.02E-05,2.62E-05,7.29E+00,8.40E-04,1.75E-04,8.87E-04,2.39E-04,9.47E-01,6.72E-04,1.78E-04,8.53E-04,1.86E-04,7.87E-01,1.51E-04,1.63E-04,0.00E+00,0.00E+00,---,1.03E-04,1.29E-04,1.50E-05,2.60E-05,6.87E+00,1.23E-04,5.83E-05,0.00E+00,0.00E+00,---,
Clustered mitochondria protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CLU1 PE=1 SV=1,CLU1 TIF31 YMR012W YM8270.16,Q03690,5.99,1277,145165.62,0,0,Cytoplasm. ,eukaryotic translation initiation factor 3 complex; intracellular distribution of mitochondria; mitochondrion organization; translational initiation,4.14E-05,3.60E-05,4.13E-05,4.02E-05,1.00E+00,1.39E-04,3.39E-05,2.96E-05,1.22E-05,4.71E+00,1.22E-04,5.45E-05,7.93E-05,5.09E-05,1.54E+00,3.01E-05,3.01E-05,7.03E-06,1.22E-05,4.28E+00,1.03E-04,5.94E-05,0.00E+00,0.00E+00,---,9.46E-05,5.77E-05,0.00E+00,0.00E+00,---,
Adenylate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADK1 PE=1 SV=2,ADK1 AKY AKY1 AKY2 YDR226W YD9934.11,P07170,5.97,222,24036.49,2,0,Cytoplasm â€º cytosol. Mitochondrion intermembrane space. ,ADP biosynthetic process; ATP binding; DNA replication initiation; adenylate kinase activity; cytosol; mitochondrial intermembrane space,2.22E-03,9.59E-04,4.30E-03,1.18E-03,5.17E-01,4.81E-03,1.22E-03,2.22E-03,5.23E-04,2.17E+00,2.33E-03,5.71E-04,3.90E-03,2.55E-04,5.97E-01,5.12E-03,3.77E-04,1.90E-03,3.21E-04,2.69E+00,5.12E-03,7.96E-04,2.15E-03,4.16E-04,2.38E+00,5.39E-03,6.54E-04,2.07E-03,1.52E-04,2.61E+00,
Adenosylhomocysteinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAH1 PE=1 SV=1,SAH1 YER043C,P39954,5.83,449,49125.51,3,Amino-acid biosynthesis; L-homocysteine biosynthesis; L-homocysteine from S-adenosyl-L-homocysteine: step 1/1. ,0,adenosylhomocysteinase activity; cytoplasm; methionine metabolic process; one-carbon metabolic process; selenocysteine metabolic process,2.88E-03,3.90E-04,1.90E-05,3.30E-05,1.51E+02,1.84E-03,3.41E-04,1.46E-03,1.91E-04,1.26E+00,1.51E-03,1.51E-04,1.90E-03,1.66E-04,7.91E-01,3.45E-03,1.71E-04,4.30E-04,1.19E-04,8.01E+00,2.93E-03,2.18E-04,1.85E-04,1.82E-04,1.58E+01,2.67E-03,7.22E-04,2.71E-04,1.57E-04,9.85E+00,
Eukaryotic translation initiation factor 3 subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPG1 PE=1 SV=1,RPG1 TIF32 YBR079C YBR0734,P38249,5.97,964,110344.39,0,0,Cytoplasm. ,cytoplasmic stress granule; eukaryotic 43S preinitiation complex; eukaryotic 48S preinitiation complex; eukaryotic translation initiation factor 3 complex; formation of translation preinitiation complex; incipient cellular bud site; regulation of translational initiation; translation initiation factor activity; translation reinitiation,2.68E-05,4.64E-05,0.00E+00,0.00E+00,---,3.56E-04,8.17E-05,1.08E-04,1.81E-05,3.29E+00,6.11E-04,4.73E-04,9.65E-05,4.51E-06,6.33E+00,2.15E-04,1.10E-04,9.32E-06,1.61E-05,2.31E+01,2.37E-04,8.29E-05,0.00E+00,0.00E+00,---,1.78E-04,7.71E-05,0.00E+00,0.00E+00,---,
60S ribosomal protein L13-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13A PE=1 SV=1,RPL13A YDL082W,Q12690,11.18,199,22554.04,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic large ribosomal subunit; structural constituent of ribosome,2.74E-03,1.14E-03,1.58E-03,4.08E-04,1.74E+00,3.96E-03,5.89E-04,2.62E-03,5.68E-04,1.51E+00,4.01E-03,2.10E-04,3.00E-03,2.54E-04,1.34E+00,5.18E-03,1.87E-04,1.61E-03,2.73E-04,3.21E+00,4.15E-03,1.94E-04,1.95E-03,4.52E-04,2.13E+00,4.43E-03,5.83E-04,1.88E-03,4.73E-04,2.36E+00,
Single-stranded nucleic acid-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBP1 PE=1 SV=2,SBP1 SSB1 SSBR1 YHL034C,P10080,5.47,294,32989.58,0,0,Cytoplasm. Nucleus â€º nucleolus. ,RNA binding; cytoplasmic mRNA processing body; eukaryotic initiation factor 4G binding; negative regulation of translation in response to stress; nucleolus; nucleotide binding,1.07E-03,4.56E-04,1.61E-03,4.22E-04,6.63E-01,1.08E-03,2.63E-04,2.94E-03,2.97E-04,3.68E-01,1.40E-03,6.09E-04,2.60E-03,3.53E-04,5.40E-01,2.11E-03,4.33E-04,1.10E-03,3.22E-04,1.91E+00,2.48E-03,1.18E-04,1.43E-03,6.78E-05,1.73E+00,1.83E-03,8.33E-06,9.88E-04,3.99E-05,1.86E+00,
Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPP1 PE=1 SV=4,IPP1 PPA PPA1 YBR011C YBR0202,P00817,5.36,287,32168.4,3,0,Cytoplasm. ,cytosol; inorganic diphosphatase activity; magnesium ion binding; phosphate-containing compound metabolic process; protein homodimerization activity,4.18E-03,1.32E-03,6.76E-04,4.23E-04,6.18E+00,3.10E-03,2.27E-04,2.61E-03,4.07E-04,1.19E+00,2.60E-03,5.48E-04,2.99E-03,4.65E-04,8.67E-01,3.04E-03,1.09E-03,4.48E-04,4.18E-05,6.77E+00,2.41E-03,2.11E-04,4.14E-04,1.36E-04,5.83E+00,2.25E-03,1.06E-03,3.90E-04,1.62E-04,5.76E+00,
"Serine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SES1 PE=1 SV=2",SES1 SERS YDR023W YD9813.01,P07284,5.8,462,53309.58,6,Aminoacyl-tRNA biosynthesis; selenocysteinyl-tRNA(Sec) biosynthesis; L-seryl-tRNA(Sec) from L-serine and tRNA(Sec): step 1/1. ,Cytoplasm. ,ATP binding; cytoplasm; selenocysteinyl-tRNA(Sec) biosynthetic process; serine-tRNA ligase activity; seryl-tRNA aminoacylation,8.01E-04,2.88E-04,1.17E-04,5.18E-06,6.86E+00,8.25E-04,1.40E-04,1.01E-03,1.87E-04,8.19E-01,1.39E-03,9.50E-05,9.12E-04,2.52E-04,1.53E+00,2.03E-04,6.35E-05,6.11E-05,6.22E-05,3.32E+00,2.57E-04,1.11E-04,1.92E-05,3.32E-05,1.34E+01,1.61E-04,8.61E-05,8.12E-05,1.41E-04,1.98E+00,
40S ribosomal protein S16-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS16A PE=1 SV=1,RPS16A RP61R YMR143W YM9375.12,P0CX51,10.26,143,15716.26,0,0,Cytoplasm. ,"90S preribosome; cytoplasmic translation; cytosolic small ribosomal subunit; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); structural constituent of ribosome",6.26E-04,6.72E-04,0.00E+00,0.00E+00,---,6.57E-03,1.27E-03,5.12E-03,1.13E-03,1.28E+00,7.67E-03,1.49E-03,3.53E-03,5.50E-04,2.17E+00,1.01E-03,1.05E-04,0.00E+00,0.00E+00,---,3.35E-04,1.49E-04,1.25E-04,1.09E-04,2.68E+00,3.53E-04,4.13E-04,6.68E-05,1.16E-04,5.29E+00,
Protein SIS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIS1 PE=1 SV=1,SIS1 YNL007C N2879,P25294,9.02,352,37590.04,0,0,Cytoplasm. Nucleus. ,DNA binding; cell cycle; cytosolic small ribosomal subunit; nucleus; protein folding; translational initiation; unfolded protein binding,9.39E-04,5.36E-04,6.36E-04,9.07E-05,1.48E+00,2.35E-03,2.21E-04,7.05E-04,2.22E-04,3.33E+00,2.74E-03,1.07E-03,1.06E-03,3.48E-04,2.58E+00,1.46E-03,3.45E-04,1.60E-03,1.32E-04,9.11E-01,1.33E-03,2.17E-04,1.43E-03,1.20E-04,9.25E-01,1.28E-03,2.80E-04,1.06E-03,3.67E-04,1.21E+00,
40S ribosomal protein S17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS17A PE=1 SV=1,RPS17A RP51A YML024W,P02407,10.51,136,15788.34,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic small ribosomal subunit; ribosomal small subunit assembly; structural constituent of ribosome; translational elongation,4.05E-03,8.37E-04,2.34E-03,1.24E-03,1.73E+00,6.83E-03,1.22E-03,4.41E-03,4.86E-04,1.55E+00,7.33E-03,9.65E-04,4.71E-03,5.70E-04,1.56E+00,4.79E-03,7.39E-04,1.69E-03,8.93E-05,2.83E+00,3.34E-03,3.55E-04,1.62E-03,3.72E-04,2.06E+00,3.44E-03,7.08E-04,1.72E-03,2.42E-04,2.00E+00,
60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2,RPP0 L10E RPA0 RPL10E RPLA0 YLR340W L8300.8,P05317,4.73,312,33717.24,0,0,Cytoplasm. ,90S preribosome; LSU rRNA binding; cytoplasmic translation; cytosolic large ribosomal subunit; ribosomal large subunit assembly; structural constituent of ribosome; translational elongation,2.14E-03,3.80E-04,8.66E-05,3.83E-06,2.47E+01,1.67E-03,2.89E-04,1.98E-03,8.71E-05,8.46E-01,2.39E-03,2.32E-04,2.48E-03,3.77E-04,9.63E-01,1.72E-03,5.24E-04,2.06E-03,6.22E-04,8.34E-01,1.42E-03,1.27E-04,1.45E-03,4.43E-04,9.80E-01,1.53E-03,1.25E-04,1.74E-03,5.85E-04,8.82E-01,
"Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPS1 PE=1 SV=3",DPS1 APS APS1 YLL018C L1295,P04802,6.16,557,63384.32,6,0,Cytoplasm. ,ATP binding; RNA binding; aspartate-tRNA ligase activity; aspartyl-tRNA aminoacylation; cytoplasm; nucleus,1.53E-03,2.57E-04,9.83E-05,5.20E-05,1.56E+01,1.51E-03,1.74E-04,1.00E-03,2.79E-04,1.50E+00,1.15E-03,3.63E-04,8.88E-04,8.25E-05,1.29E+00,6.66E-04,1.06E-04,4.94E-05,4.84E-05,1.35E+01,2.16E-04,1.01E-04,0.00E+00,0.00E+00,---,5.85E-04,5.12E-04,3.37E-05,5.83E-05,1.74E+01,
60S ribosomal protein L20-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL20A PE=1 SV=1,RPL20A RPL18A RPL18A2 YMR242C YM9408.04C,P0CX23,10.3,172,20436.76,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic large ribosomal subunit; structural constituent of ribosome,4.58E-04,1.83E-05,0.00E+00,0.00E+00,---,3.69E-03,5.34E-04,2.37E-03,5.24E-04,1.56E+00,5.68E-03,1.72E-03,2.34E-03,4.48E-04,2.43E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"Asparagine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED81 PE=1 SV=1",DED81 YHR019C,P38707,5.6,554,62206.82,6,0,Cytoplasm. ,ATP binding; asparagine-tRNA ligase activity; asparaginyl-tRNA aminoacylation; cytosol; nucleic acid binding,3.84E-04,1.96E-04,6.17E-05,1.07E-04,6.22E+00,5.74E-04,8.15E-05,1.06E-03,1.40E-04,5.39E-01,5.62E-04,2.51E-04,1.27E-03,9.05E-05,4.43E-01,5.00E-04,1.78E-04,4.99E-05,1.69E-06,1.00E+01,2.35E-04,1.27E-04,1.49E-04,5.04E-05,1.58E+00,3.14E-04,1.53E-04,3.35E-05,2.90E-05,9.36E+00,
60S ribosomal protein L12-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL12A PE=1 SV=1,RPL12A RPL15B YEL054C,P0CX53,9.44,165,17691.43,0,0,Cytoplasm. ,RNA binding; cytoplasmic translation; cytosolic large ribosomal subunit; ribosomal large subunit assembly; structural constituent of ribosome,2.94E-03,1.03E-03,1.12E-03,6.46E-04,2.61E+00,5.63E-03,5.78E-04,3.33E-03,6.14E-04,1.69E+00,4.09E-03,6.97E-04,3.38E-03,4.57E-04,1.21E+00,4.22E-03,7.84E-04,1.56E-03,7.27E-05,2.70E+00,4.48E-03,1.11E-03,1.55E-03,2.89E-04,2.90E+00,4.15E-03,6.59E-04,1.02E-03,1.63E-04,4.06E+00,
"Aminopeptidase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE2 PE=1 SV=4",APE2 LAP1 YKL157W YKL158W YKL611 YKL612,P32454,6.32,952,102076.26,3,0,Periplasm. Cytoplasm. Mitochondrion. ,cell wall-bounded periplasmic space; extracellular region; metalloaminopeptidase activity; mitochondrion; peptide catabolic process; proteolysis; zinc ion binding,8.40E-04,1.69E-05,0.00E+00,0.00E+00,---,2.01E-04,8.17E-05,3.56E-04,1.78E-04,5.63E-01,1.60E-04,1.10E-04,3.99E-04,8.35E-05,4.02E-01,1.95E-04,3.17E-05,9.55E-06,1.65E-05,2.05E+01,5.12E-05,5.88E-05,1.90E-05,3.30E-05,2.69E+00,1.56E-04,4.48E-05,2.94E-05,2.95E-05,5.30E+00,
Coatomer subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COP1 PE=1 SV=2,COP1 RET1 SEC33 SOO1 YDL145C D1578,P53622,5.66,1201,135607.28,0,0,Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle â€º COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. ,"COPI vesicle coat; ER to Golgi vesicle-mediated transport; intracellular protein transport; retrograde vesicle-mediated transport, Golgi to ER; structural molecule activity; ubiquitin binding",---,---,---,---,---,2.11E-05,3.65E-05,7.74E-06,1.34E-05,2.72E+00,1.62E-04,3.41E-05,9.44E-05,1.29E-05,1.72E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Homoserine dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOM6 PE=1 SV=1,HOM6 YJR139C J2132,P31116,6.86,359,38502.12,1,Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3. Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5. ,0,NADP binding; cytoplasm; homoserine biosynthetic process; homoserine dehydrogenase activity; isoleucine biosynthetic process; methionine biosynthetic process; nucleus; threonine biosynthetic process,2.05E-03,3.10E-04,0.00E+00,0.00E+00,---,1.20E-03,5.66E-05,2.37E-03,3.81E-04,5.07E-01,9.90E-04,8.89E-05,2.34E-03,1.82E-04,4.24E-01,9.05E-04,5.72E-04,2.53E-05,4.39E-05,3.58E+01,2.66E-04,5.63E-05,2.52E-05,4.37E-05,1.05E+01,3.15E-04,2.89E-04,0.00E+00,0.00E+00,---,
Elongation factor 1-gamma 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF4 PE=1 SV=1,TEF4 EFC1 YKL081W,P36008,7.63,412,46520.15,0,Protein biosynthesis; polypeptide chain elongation. ,Cytoplasm. ,eukaryotic translation elongation factor 1 complex; mitochondrion; ribosome; translation elongation factor activity,6.69E-04,2.68E-05,0.00E+00,0.00E+00,---,1.73E-03,1.83E-04,1.87E-03,4.84E-05,9.25E-01,2.04E-03,2.92E-05,1.85E-03,1.96E-04,1.11E+00,6.20E-04,2.67E-04,8.77E-05,7.60E-05,7.07E+00,2.62E-04,9.02E-05,0.00E+00,0.00E+00,---,2.43E-04,2.34E-04,0.00E+00,0.00E+00,---,
V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA2 PE=1 SV=2,VMA2 VAT2 YBR127C YBR1002,P16140,4.95,517,57749.25,0,0,0,"ATP binding; ATP hydrolysis coupled proton transport; cellular calcium ion homeostasis; fungal-type vacuole membrane; integral to membrane; proton-transporting ATPase activity, rotational mechanism; vacuolar acidification; vacuolar proton-transporting V-type ATPase, V1 domain",1.21E-03,3.01E-04,3.31E-05,5.73E-05,3.67E+01,1.67E-03,1.75E-04,1.21E-03,2.14E-04,1.38E+00,1.64E-03,2.11E-04,7.79E-04,2.43E-04,2.10E+00,2.02E-03,6.87E-04,1.43E-04,3.27E-05,1.41E+01,1.62E-03,1.93E-04,1.24E-04,2.68E-05,1.31E+01,1.63E-03,6.56E-04,2.17E-04,5.04E-05,7.51E+00,
Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3,ENO1 ENOA HSP48 YGR254W G9160,P00924,6.17,437,46684.94,4,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 4/5. ,Cytoplasm. ,"fungal-type vacuole; gluconeogenesis; glycolysis; magnesium ion binding; mitochondrion; phosphopyruvate hydratase activity; phosphopyruvate hydratase complex; plasma membrane; regulation of vacuole fusion, non-autophagic",2.59E-02,3.46E-03,4.91E-03,6.61E-04,5.27E+00,1.61E-02,8.66E-04,1.13E-02,1.40E-03,1.43E+00,1.01E-02,1.25E-03,1.40E-02,9.90E-04,7.24E-01,1.21E-02,3.83E-03,6.82E-03,1.34E-03,1.77E+00,9.97E-03,9.45E-04,4.38E-03,9.52E-04,2.28E+00,1.23E-02,3.10E-03,4.29E-03,6.78E-04,2.85E+00,
"Arginine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR341C PE=1 SV=1",YDR341C D9651.10,Q05506,6.33,607,69524.99,6,0,Cytoplasm. ,ATP binding; arginine-tRNA ligase activity; arginyl-tRNA aminoacylation; mitochondrion,1.09E-04,3.99E-05,0.00E+00,0.00E+00,---,6.27E-04,3.11E-04,3.89E-04,1.37E-04,1.61E+00,7.26E-04,4.59E-04,2.72E-04,1.32E-04,2.67E+00,6.54E-05,6.32E-05,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,3.97E-05,6.87E-05,0.00E+00,0.00E+00,---,
Transaldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAL1 PE=1 SV=4,TAL1 YLR354C L9638.6,P15019,6.08,335,36905.2,2,Carbohydrate degradation; pentose phosphate pathway; D-glyceraldehyde 3-phosphate and beta-D-fructose 6-phosphate from D-ribose 5-phosphate and D-xylulose 5-phosphate (non-oxidative stage): step 2/3. ,0,cytoplasm; nucleus; pentose-phosphate shunt; sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity,2.91E-03,6.45E-04,5.10E-05,8.84E-05,5.69E+01,1.90E-03,2.53E-04,1.79E-03,1.41E-04,1.06E+00,2.22E-03,2.77E-04,1.70E-03,1.11E-04,1.31E+00,1.28E-03,5.64E-04,1.13E-04,1.32E-04,1.14E+01,5.70E-04,1.15E-04,1.06E-04,1.83E-04,5.38E+00,1.00E-03,5.29E-04,1.96E-04,4.85E-05,5.11E+00,
"C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE3 PE=1 SV=1",ADE3 YGR204W G7733,P07245,6.37,946,102205.13,1,One-carbon metabolism; tetrahydrofolate interconversion. ,Cytoplasm. Nucleus. ,ATP binding; cytoplasm; folic acid-containing compound biosynthetic process; folic acid-containing compound metabolic process; formate-tetrahydrofolate ligase activity; histidine biosynthetic process; methenyltetrahydrofolate cyclohydrolase activity; methionine biosynthetic process; methylenetetrahydrofolate dehydrogenase (NADP+) activity; nucleus; purine nucleobase biosynthetic process; purine nucleotide biosynthetic process; tetrahydrofolate interconversion,1.23E-04,6.88E-05,0.00E+00,0.00E+00,---,2.68E-04,1.22E-04,1.71E-04,3.36E-05,1.57E+00,2.61E-04,1.21E-04,1.41E-04,4.32E-05,1.85E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Cys-Gly metallodipeptidase DUG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUG1 PE=1 SV=1,DUG1 YFR044C,P43616,5.43,481,52871.38,3,0,Cytoplasm. ,glutathione catabolic process; metal ion binding; metallodipeptidase activity; mitochondrion; omega peptidase activity; proteolysis; tripeptidase activity,2.25E-03,5.72E-04,1.68E-04,7.46E-06,1.34E+01,6.87E-04,1.22E-04,1.58E-03,1.90E-04,4.36E-01,1.10E-03,8.92E-05,1.25E-03,1.17E-04,8.79E-01,2.41E-03,1.81E-04,5.71E-04,1.91E-04,4.23E+00,2.01E-03,8.35E-05,6.06E-04,1.21E-04,3.32E+00,1.91E-03,1.76E-04,4.09E-04,7.63E-06,4.66E+00,
"Tyrosine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TYS1 PE=1 SV=3",TYS1 MGM104 YGR185C G7522,P36421,8.57,394,43888.77,6,0,Cytoplasm. Nucleus. ,ATP binding; cytoplasm; nucleus; tyrosine-tRNA ligase activity; tyrosyl-tRNA aminoacylation,9.66E-04,1.56E-04,0.00E+00,0.00E+00,---,1.13E-03,2.51E-04,8.16E-04,1.90E-04,1.39E+00,1.04E-03,4.57E-04,5.42E-04,2.53E-04,1.93E+00,9.75E-05,9.76E-05,0.00E+00,0.00E+00,---,6.04E-05,5.24E-05,0.00E+00,0.00E+00,---,2.87E-04,2.63E-04,0.00E+00,0.00E+00,---,
Translationally-controlled tumor protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA19 PE=1 SV=1,TMA19 MMI1 YKL056C YKL312,P35691,4.41,167,18741.12,0,0,Cytoplasm â€º cytoskeleton. Mitochondrion. ,cellular response to oxidative stress; cytoplasmic translation; cytosol; microtubule; mitochondrion,3.62E-03,9.86E-04,3.15E-03,1.16E-03,1.15E+00,3.27E-03,4.80E-04,4.80E-03,1.09E-03,6.83E-01,3.18E-03,6.28E-04,4.90E-03,1.04E-03,6.49E-01,1.84E-03,3.94E-04,1.86E-03,4.49E-04,9.85E-01,2.37E-03,6.71E-04,1.20E-03,2.99E-04,1.97E+00,2.13E-03,3.48E-04,1.12E-03,2.15E-04,1.89E+00,
40S ribosomal protein S15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS15 PE=1 SV=1,RPS15 RPS21 YOL040C,Q01855,10.7,142,15870.65,0,0,Cytoplasm. ,RNA binding; cytoplasmic translation; cytosolic small ribosomal subunit; rRNA export from nucleus; structural constituent of ribosome,7.28E-04,4.01E-04,6.54E-05,1.13E-04,1.11E+01,4.47E-03,6.45E-04,3.89E-03,1.04E-03,1.15E+00,5.72E-03,8.82E-04,4.21E-03,9.85E-04,1.36E+00,3.24E-03,7.12E-04,0.00E+00,0.00E+00,---,2.61E-03,2.81E-04,0.00E+00,0.00E+00,---,2.07E-03,4.17E-04,0.00E+00,0.00E+00,---,
