,Accession Number,Particle Size,Particle Charge,Solvent Conditions,Average Predicted Value,True Value,% Error Difference,Min,Max,Standard Deviation
748,P06367,10 nm,Negative,10 mM NaPi pH 7.4,0.0012383865681516875,0.00278,0.5545372057008318,0.0009741383580000033,0.0014703836672381105,0.00014343112818007806
749,P08524,100 nm,Negative,10 mM NaPi pH 7.4,0.0007939931411865534,0.000768,0.03384523591999143,0.0006544326419365084,0.0008438551873333359,5.3548234371862205e-05
750,P08524,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0008686188439206437,0.000904,0.03913844699043836,0.0007625021797619119,0.0009339483810000074,5.4921980524157756e-05
751,P54839,10 nm,Negative,10 mM NaPi pH 7.4,0.0005133150484997337,0.000828,0.3800542892515293,0.000376090095619048,0.000576724922476189,8.294019879956506e-05
752,P48836,10 nm,Positive,10 mM NaPi pH 7.4,0.0032914170275992116,0.000563,4.846211416694869,0.0030107016657142916,0.003569475069619045,0.00020896812078257317
753,P48836,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0029199767300952303,0.00352,0.17046115622294597,0.0025181066438095213,0.0035632375575238066,0.00038293295385396077
754,P32316,100 nm,Negative,10 mM NaPi pH 7.4,0.0007892143925918339,0.000316,1.4975139006070695,0.0007011034746666638,0.0009272195732380943,9.146452225363458e-05
755,P05749,10 nm,Negative,10 mM NaPi pH 7.4,0.0017725126139438243,0.00304,0.4169366401500578,0.0015041226740317298,0.0019435845569523735,0.00012473385257835413
756,P29509,10 nm,Positive,10 mM NaPi pH 7.4,0.002812511565835982,0.00108,1.6041773757740574,0.0014094833110476024,0.003900455071333322,0.0008477812419408065
757,P53252,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0011559423675823535,3.6e-05,31.10951021062093,0.0009733157092698434,0.0013371095930476147,0.00016224372014523843
758,P37303,100 nm,Negative,10 mM NaPi pH 7.4,0.002321510060994486,0.00044,4.276159229532922,0.001871244184380993,0.002801249885161951,0.00033233258378403263
759,P54885,10 nm,Negative,10 mM NaPi pH 7.4,0.0004354130180158437,0.000251,0.7347132191866285,0.0003471959779047576,0.0007771250734285734,0.00011884695063531826
760,P54885,100 nm,Negative,10 mM NaPi pH 7.4,0.0005087844201910955,0.000199,1.5567056291009824,0.00044913334479797955,0.000782861539238099,0.00012133172686825843
761,P04037,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.007829278369298108,0.0146,0.46374805689738985,0.0029921478585079393,0.010477988526031752,0.002023835690606146
762,P28777,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.000907987224270829,0.000985,0.07818555911590964,0.0008537831289523755,0.0009792259191428552,4.161739534266658e-05
763,Q3E764,100 nm,Negative,10 mM NaPi pH 7.4,0.0029721593094518563,0.00178,0.6697524210403688,0.0024622450930158707,0.004033842061269828,0.0003867295543389309
764,Q3E764,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.003819078722797621,0.00104,2.6721910796130977,0.002663689490476177,0.006657737636190511,0.001250841553866377
765,P20081,10 nm,Negative,10 mM NaPi pH 7.4,0.00350242125909512,0.00357,0.01892961930108683,0.0029605996139047673,0.004239146683809505,0.0004382362567089866
766,P20081,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.004879291082670617,0.00554,0.11926153742407634,0.0047624982171428475,0.004973526138095243,6.58031306851005e-05
767,P16547,100 nm,Negative,10 mM NaPi pH 7.4,0.0025172361905132345,0.000436,4.773477501177142,0.002434952530761913,0.0027510783013333126,0.00011845538017538762
768,P07263,100 nm,Negative,10 mM NaPi pH 7.4,0.00030877751545439286,0.000523,0.40960322092850315,0.00021906908219047585,0.0004090245926349234,4.5504031906141605e-05
769,P38788,10 nm,Negative,10 mM NaPi pH 7.4,0.00020891868784353717,0.000284,0.264370817452334,0.00018680563657142842,0.00022637373257142825,1.5287101395479054e-05
770,Q03048,100 nm,Negative,10 mM NaPi pH 7.4,0.0037623085617763336,0.00253,0.4870784829155468,0.003374686792285739,0.004137976001809496,0.0002706117870882081
771,Q12305,100 nm,Negative,10 mM NaPi pH 7.4,0.0018582289558377433,0.00187,0.006294676022597102,0.0014262781727618964,0.0022237181122222297,0.0003276386854430618
772,P00445,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.007516455783980194,0.0138,0.45532929101592795,0.004662240666857176,0.009510968709047647,0.0017358229655331258
773,P37302,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0001802404267563495,0.000475,0.6205464699866325,0.00012714876227936514,0.00021563702145714316,2.660905275395748e-05
774,Q01560,100 nm,Negative,10 mM NaPi pH 7.4,0.0006958671214535164,0.000441,0.5779299806202186,0.0005502957730476203,0.0007700595608095268,6.817883848656989e-05
775,P05318,100 nm,Negative,10 mM NaPi pH 7.4,0.0022972321845926057,0.00089,1.58115975796922,0.002103480982920643,0.0027996596009524106,0.00020676875089913852
776,P05318,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0038102576792681912,0.00235,0.6213862464971026,0.003148575451428562,0.004143628066666653,0.0002966542678241279
777,P54838,10 nm,Negative,10 mM NaPi pH 7.4,0.0003825589254515386,0.000196,0.9518312523037685,0.0002540963677142865,0.000762548887104764,0.00017082989332741378
778,P54838,100 nm,Negative,10 mM NaPi pH 7.4,0.0004928498474972585,4.23e-05,10.651296631140864,0.00041238268838094863,0.0007722436496190499,9.87145601405194e-05
779,P15454,10 nm,Positive,10 mM NaPi pH 7.4,0.001210193379345232,0.00104,0.16364748013964617,0.0006981808748888832,0.0013786029442857059,0.00022752751728346722
780,P15454,100 nm,Negative,10 mM NaPi pH 7.4,0.0013543209436309568,0.001,0.3543209436309568,0.0012734052815238154,0.0015041703555238111,7.01910818645945e-05
781,P15454,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0012785225375941045,0.000631,1.0261846871538896,0.0007778457553333275,0.0015484778847619052,0.00023420508621968197
782,P29453,100 nm,Negative,10 mM NaPi pH 7.4,0.004368123791100509,0.00659,0.33715875704089404,0.003892768725714307,0.0048729930863808685,0.0003525472551920884
783,P32599,10 nm,Negative,10 mM NaPi pH 7.4,0.00014440983013924916,5.92e-05,1.4393552388386681,0.00011344188666666663,0.00020193162226666533,3.010427891705046e-05
784,P32599,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0001645663613040559,6.19e-05,1.658584189080063,0.00011361527483174612,0.00022976934961904685,4.330141803669217e-05
785,P38625,10 nm,Negative,10 mM NaPi pH 7.4,0.000359529200039908,0.000242,0.48565785140457857,0.0002513147409523812,0.0005362256719841238,0.00012073671422575106
786,P38625,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.000588383819066668,7.58e-05,6.762319512752876,0.00039110096979364835,0.0008465754178984094,0.00011654026958838221
787,P32449,10 nm,Negative,10 mM NaPi pH 7.4,0.0010601803238944377,0.000687,0.5432028004285847,0.0009410309038412677,0.0012149286836190343,8.180775500017532e-05
788,P47176,10 nm,Positive,10 mM NaPi pH 7.4,0.0004830754047665226,0.000313,0.5433719002125322,0.0004124617702920629,0.0006040041422380978,6.279771607004784e-05
789,P09440,100 nm,Negative,10 mM NaPi pH 7.4,0.00042476009017548643,0.000148,1.8700006092938275,0.00031620055602857213,0.000614311074142859,9.242707926874913e-05
790,Q08745,10 nm,Negative,10 mM NaPi pH 7.4,0.003397298729792317,0.00303,0.12122070290175468,0.0025361794159999835,0.004516951323809539,0.0007332968641684098
791,P49166,10 nm,Negative,10 mM NaPi pH 7.4,0.004052424172180133,0.00188,1.155544772436241,0.0029758328555555547,0.006620875077619122,0.0009938860761236322
792,P05739,10 nm,Negative,10 mM NaPi pH 7.4,0.0032857094575423637,0.00311,0.056498217859280976,0.0028466443724444886,0.003574334591428615,0.0002664061026864807
793,P28834,10 nm,Negative,10 mM NaPi pH 7.4,0.0009844249507777812,0.000282,2.4908686197793655,0.0008441148831428633,0.0012509858160952357,0.0001523676496082109
794,Q08225,100 nm,Negative,10 mM NaPi pH 7.4,0.0001284902887964726,4.82e-05,1.6657736264828336,0.0001002471337619048,0.0001590521536666666,1.8030665526396683e-05
795,Q08225,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.00010389350758845573,1.72e-05,5.0403202086311465,9.147496835238081e-05,0.00012053324795238079,1.0917164401374166e-05
796,P38075,10 nm,Negative,10 mM NaPi pH 7.4,0.0009233348990402947,0.000836,0.10446758258408455,0.0008478783244444491,0.0010296499378412713,4.584178663483202e-05
797,P16387,100 nm,Negative,10 mM NaPi pH 7.4,0.0004640675128739672,0.000184,1.5221060482280826,0.0002636209315714261,0.0009015273087301585,0.00022430875631409032
798,P26786,10 nm,Negative,10 mM NaPi pH 7.4,0.0020231020209674918,0.00395,0.4878222731727869,0.0015808831572380795,0.0027226668794603087,0.0003206224137405489
799,P37291,10 nm,Negative,10 mM NaPi pH 7.4,0.0003442039109679641,0.000379,0.09181026129824774,0.00023516956874603047,0.000511428853238096,8.557865529753812e-05
800,P0CX29,100 nm,Negative,10 mM NaPi pH 7.4,0.0031669119518539903,0.00218,0.45271190452017895,0.00265204920723812,0.0035785947257142986,0.0003330269350613485
801,P22217,10 nm,Positive,10 mM NaPi pH 7.4,0.0031738206940719695,0.00204,0.5557944578784163,0.0027649090895238296,0.004111961936761906,0.00036105814975958574
802,P25719,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.004924251300099799,0.00719,0.3151249930320168,0.00462011032015876,0.005456648998666678,0.00033157620281631554
803,P40069,10 nm,Negative,10 mM NaPi pH 7.4,8.610914485505864e-05,7.98e-05,0.07906196560223855,6.1018671599999854e-05,0.00014398935517142772,2.8716012841236176e-05
804,P40069,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00010100787207590185,1.15e-05,7.783293223991466,8.668245576190462e-05,0.00012926955800634846,1.1292812600462665e-05
805,P11076,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.001032959201716926,0.000332,2.1113228967377284,0.0007605727546190405,0.00168192587206348,0.0003328568228151758
806,P53141,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0007318560310929754,0.000343,1.1336910527491997,0.0004504710108888898,0.0008739526502857194,0.00019119220312539115
807,P53141,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0008361692418201104,0.000319,1.6212201937934496,0.0007523652373333359,0.0009248906884761919,6.0437452769718606e-05
808,P52553,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0006039371324230044,0.00125,0.5168502940615964,0.0005563301260086579,0.000643489234095237,2.8066956653955155e-05
809,P53184,100 nm,Negative,10 mM NaPi pH 7.4,0.0008858290037777785,0.0006,0.47638167296296435,0.000755629506000004,0.0011701481359999981,0.00014952276242528035
810,P23255,100 nm,Negative,10 mM NaPi pH 7.4,6.571709519062037e-05,8.11e-06,7.103217656056765,3.5656934453968325e-05,0.00010155271663809455,1.9980314014183256e-05
811,O14455,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.006879285821658331,0.00743,0.0741203470177212,0.006234916870000011,0.007254149566666685,0.00024262663989115581
812,Q04894,100 nm,Negative,10 mM NaPi pH 7.4,0.0007721311488465548,0.000404,0.9112157149667197,0.0007085688305714236,0.0008744959036190418,5.964286811001962e-05
813,P38248,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00028276511101785494,0.000155,0.8242910388248705,0.00023493031266666445,0.00031888034899999796,2.7495691367852752e-05
814,P06208,100 nm,Negative,10 mM NaPi pH 7.4,0.00036705882675700625,0.000149,1.4634820587718542,0.0002437031111428554,0.0006025681501111105,8.554909468566806e-05
815,Q3E772,10 nm,Positive,10 mM NaPi pH 7.4,0.004051530298081862,0.00473,0.14343968328079015,0.0024568273157142884,0.007529528671206363,0.0015330907882858185
816,P53551,10 nm,Negative,10 mM NaPi pH 7.4,0.0028618926569761883,0.000591,3.842457964426714,0.0025733649617142936,0.0032412524404761916,0.0002177535322561683
817,P14742,100 nm,Negative,10 mM NaPi pH 7.4,0.00027572320349115623,0.000208,0.32559232447671277,0.000223945679857143,0.0003167677588571428,3.3071518412729725e-05
818,P10622,10 nm,Positive,10 mM NaPi pH 7.4,0.001508775093040297,0.00223,0.32341924078910456,0.001148725360793655,0.0020094558239047624,0.00022131772006954333
819,P10622,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.002058217260581347,0.00151,0.36305778846446823,0.001628700006063493,0.0024221734271428408,0.00025755615933521563
820,P39726,100 nm,Negative,10 mM NaPi pH 7.4,0.0008307804963528718,0.000604,0.37546439793521813,0.000619784749587305,0.0010713252605714257,0.0001526903332108169
821,P43582,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0005319498431125482,0.000292,0.8217460380566719,0.0004194191052380911,0.0008077404861904669,0.00010529281149092683
822,P12945,100 nm,Negative,10 mM NaPi pH 7.4,0.0003165634936393654,2.54e-05,11.463129670841155,0.00027878153371428444,0.00037939843741904746,4.016818231608891e-05
823,P38968,10 nm,Negative,10 mM NaPi pH 7.4,2.6710204183714678e-05,4.99e-05,0.4647253670598261,2.2094000241269866e-05,3.515807000952381e-05,5.827078131025256e-06
824,P17106,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.00024230061708095148,0.000102,1.3754962458916813,0.00015108240066666646,0.0003443756894920626,7.441730157042913e-05
825,P06101,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0005438736999875077,0.00111,0.510023693704948,0.0003114069930476167,0.0006758681694857224,0.00011864641764045907
826,Q04947,100 nm,Negative,10 mM NaPi pH 7.4,0.0017683962246698261,0.000352,4.023852910993824,0.001271294315428558,0.0024443470254285455,0.00044393459184176613
827,P50263,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.004665882515142502,0.000683,5.8314531700475865,0.0030258828314862866,0.0105793662190476,0.001809390641403972
828,P27616,10 nm,Negative,10 mM NaPi pH 7.4,0.0006699013281664982,0.000625,0.07184212506639708,0.0004895233403809499,0.0011784826582857167,0.00021901830378591057
829,P27616,100 nm,Negative,10 mM NaPi pH 7.4,0.0009943773348231315,0.000219,3.540535775448089,0.0008691773270476238,0.001198566909904763,0.00012535370407411818
830,P40040,10 nm,Negative,10 mM NaPi pH 7.4,0.0005321580696904766,0.000875,0.3918193489251696,0.0002807913347936509,0.000722822290793651,0.00018393099956420507
831,P40040,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0008098718454708955,0.000165,3.9083142149751247,0.000592702947238096,0.0012062582172380903,0.00014930544897677448
832,P38804,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0022117008105674452,0.00194,0.14005196421002325,0.0016845125134285742,0.0028604533942856885,0.0003724798785001275
833,P37292,10 nm,Positive,10 mM NaPi pH 7.4,0.0003553760969081052,0.000345,0.030075643211899195,0.0001796413708666672,0.0009383689831428578,0.0002412987564457159
834,P11412,10 nm,Negative,10 mM NaPi pH 7.4,0.00048221657910317513,0.000303,0.5914738584263206,0.00037797908711111164,0.000767895499174604,0.00014725350127660794
835,P39976,10 nm,Negative,10 mM NaPi pH 7.4,0.00036881568132078054,0.000129,1.8590362893083765,0.0002601039403333339,0.0004044548152813859,4.365290294088582e-05
836,P22803,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0029400646845873027,0.00553,0.4683427333476849,0.0025191109088888836,0.0032229127176190545,0.00027101953367084786
837,P33331,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0017858749793698498,0.00139,0.28480214343154664,0.0013372145797460422,0.002797381636793658,0.0004572560110588809
838,P28319,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.002786770913390213,0.000166,15.78777658668803,0.0017840309648571395,0.0037228363196190424,0.0005487555202951653
839,P00931,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00018817751186118377,0.000223,0.1561546553310145,0.0001533110782650794,0.00035464480209524123,5.8859226282688144e-05
840,P15703,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.001399495910177057,0.00138,0.01412747114279493,0.0006811314624761977,0.0020604243162857332,0.0003826133593239755
841,P38777,10 nm,Negative,10 mM NaPi pH 7.4,0.00037223860814965606,0.000367,0.014274136647564273,0.00033168587295237664,0.0004421502406666651,3.523085891076478e-05
842,P40150,100 nm,Negative,10 mM NaPi pH 7.4,0.005156706967034647,0.00602,0.1434041582998925,0.003754523933904724,0.005602064042857026,0.0005147597889661356
843,P38999,10 nm,Negative,10 mM NaPi pH 7.4,0.00014232245121518448,5.75e-05,1.475173064611904,0.00011362720202539609,0.00020668453295238115,3.390063366333071e-05
844,P07283,10 nm,Negative,10 mM NaPi pH 7.4,0.0010512123665456308,0.000551,0.9078264365619436,0.0010076873456666628,0.0011355911839999928,4.367643110033164e-05
845,P50861,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0007542360146410246,7.59e-05,8.937233394479902,0.0005920070959682528,0.0011281280882222218,0.00015579118692994834
846,Q06177,100 nm,Negative,10 mM NaPi pH 7.4,0.006584414581790006,0.00361,0.8239375572825502,0.00487657708619047,0.00773716172888894,0.0007745963378330438
847,Q06177,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.007869915093337168,0.00962,0.1819215079691094,0.004190208053523829,0.009276686921904807,0.001191078540524522
848,Q06177,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.006504656059236017,0.0121,0.4624251190714035,0.004538468747619067,0.007495481350158775,0.0008970998095705025
849,P14907,10 nm,Negative,10 mM NaPi pH 7.4,0.00010843558116964872,0.000108,0.004033158978228889,8.535738572380945e-05,0.00017859409262857112,2.5241511838878208e-05
850,P14907,100 nm,Negative,10 mM NaPi pH 7.4,0.00010531137627097474,0.000109,0.03384058466995656,8.597453459047631e-05,0.00014216437685714251,1.8558561558412798e-05
851,Q08641,10 nm,Positive,10 mM NaPi pH 7.4,8.722194284571441e-05,0.000122,0.28506604224824256,6.605942007936542e-05,0.00012089112320952364,2.283262590656049e-05
852,P04911,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0007930579873330895,9.15e-05,7.667300408011907,0.0004966632819999966,0.0017087789995238183,0.0003316666998805883
853,P15873,100 nm,Negative,10 mM NaPi pH 7.4,0.000687775340063492,0.000358,0.9211601677751173,0.0006090043029523802,0.0007455953959047606,4.40134342757461e-05
854,P48164,100 nm,Negative,10 mM NaPi pH 7.4,0.004057326102455961,0.00316,0.28396395647340544,0.0037663064764761607,0.004365235294285705,0.00019102103252609842
855,Q12306,100 nm,Negative,10 mM NaPi pH 7.4,0.0016372709269166777,0.000889,0.8416995803337206,0.0014413720945397005,0.002105500785396846,0.00024850109838226906
856,Q12306,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0036967183750360845,0.00192,0.9253741536646273,0.002248949105714279,0.005790659705238143,0.0015604131620672525
857,Q03640,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,3.2189362053246866e-05,0.000158,0.796269860422488,2.228233379047638e-05,5.901120788253964e-05,1.1252926633358969e-05
858,P39926,100 nm,Negative,10 mM NaPi pH 7.4,0.0006697149947046414,8.37e-05,7.001373891333828,0.0004954649965714301,0.0013160025826349235,0.000252789185427081
859,P39926,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0007710872529264112,0.000486,0.5865992858568132,0.0005613971828571481,0.0012865941588253947,0.00021010488214199809
860,P39926,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.001301339062307934,0.000526,1.4740286355664147,0.0008167695688730173,0.002025065973523812,0.0003577271094852079
861,P11632,10 nm,Negative,10 mM NaPi pH 7.4,0.0009087820384174272,0.00123,0.2611528142947746,0.0007580234947619114,0.001019003076190483,9.618363036352895e-05
862,P32628,10 nm,Negative,10 mM NaPi pH 7.4,0.00011766247970634917,0.000478,0.7538441847147507,8.319807196825412e-05,0.00015497370733333333,3.0282001826647692e-05
863,P38616,10 nm,Negative,10 mM NaPi pH 7.4,0.00044213189316605345,7.15e-05,5.183662841483264,0.00032318117295238003,0.0009307708557460279,0.0001510539930089998
864,P38616,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0004979984124047619,0.000583,0.14580032177570862,0.0003466488605555557,0.0005499193662857148,7.915433214247941e-05
865,P53066,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0008060152457864371,0.000495,0.6283136278513881,0.0006994629943174621,0.000866534155203464,5.6400465455548875e-05
866,Q03559,10 nm,Positive,10 mM NaPi pH 7.4,0.0012871185763412717,0.000587,1.1927062629323197,0.0011249028008571457,0.0015249105713333272,0.00012038723559782476
867,Q03559,10 nm,Negative,10 mM NaPi pH 7.4,0.0014636438131309416,0.00103,0.4210134108067393,0.0011990831429523666,0.0017724201304761848,0.00018099487733921747
868,P38077,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0010744039334658834,0.000123,7.734991328990921,0.0007978561472857143,0.0012432027349523794,0.00017879362309246286
869,P00427,10 nm,Negative,10 mM NaPi pH 7.4,0.0049300187347068964,0.00043,10.465159848155574,0.002886765462190473,0.007048177488095303,0.00133924631093704
870,P00427,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.005315868451646294,0.00801,0.3363460110304252,0.003013286910952384,0.007496591858095313,0.0021290908958148482
871,P05030,100 nm,Negative,10 mM NaPi pH 7.4,0.00039139589058548833,0.000998,0.6078197489123364,0.0003319501745396825,0.0005785857373968236,8.484289774185914e-05
872,P06633,10 nm,Negative,10 mM NaPi pH 7.4,0.0004689808974444449,0.000462,0.0151101676286686,0.0002590253425238096,0.001284447618063491,0.00027881921687776534
873,Q03973,10 nm,Negative,10 mM NaPi pH 7.4,0.0002740379011523798,0.000104,1.634979818772883,0.00020914069742857008,0.00048077916698412626,7.959814246161957e-05
874,Q03973,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00033522679437142757,5.19e-05,5.459090450316523,0.000249330126253967,0.0005307737396190483,8.304282794215485e-05
875,Q03973,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0003608733867682534,0.000243,0.4850756657129769,0.0003146243003809513,0.0005114582005555552,8.445078840985419e-05
876,Q03973,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.00033364426419047523,0.000244,0.3673945253708002,0.0002676855989523793,0.0005167210966190478,0.00012212152278156396
877,P40357,100 nm,Negative,10 mM NaPi pH 7.4,0.00022602536511206003,2.04e-05,10.079674760395099,0.00015894674747619079,0.0003378720369523821,6.064088993626313e-05
878,P40357,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.00028047729440793624,0.000448,0.37393461069657086,0.00021646087780952334,0.0003610593455555551,4.474582707182922e-05
879,Q12191,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0005051377408117906,3.76e-05,12.434514383292305,0.0004512030262857146,0.0005937178981904729,5.2799793030521026e-05
880,Q04067,10 nm,Negative,10 mM NaPi pH 7.4,0.0004281944332095222,0.000557,0.23124877341198885,0.00036120832009523674,0.000561598069809519,6.765960444520207e-05
881,Q04067,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0005770329306666634,0.000331,0.7433019053373516,0.0004951452695238067,0.0006761991097142823,6.82243459725785e-05
882,P00431,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0003540454003732541,3.55e-05,8.97310986966913,0.00025034785816882826,0.0005049719634761887,8.097898049011077e-05
883,P53330,100 nm,Negative,10 mM NaPi pH 7.4,0.0015500048094779463,0.00058,1.672422085306804,0.0009285595169523808,0.002195279328571441,0.00047534712454491685
884,P53330,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0016809273225793491,0.00335,0.4982306499763137,0.0012278423757142774,0.002053999894761873,0.0002541199146927129
885,Q12460,10 nm,Positive,10 mM NaPi pH 7.4,0.00015553791291178485,0.000177,0.12125472931194997,0.00012460335576190422,0.00018740951734920745,2.011826308628914e-05
886,P00044,10 nm,Positive,10 mM NaPi pH 7.4,0.004803098423698449,0.0114,0.5786755768685571,0.0038366892771428567,0.008105190668476285,0.0011062273241253728
887,P12685,100 nm,Negative,10 mM NaPi pH 7.4,6.164397017440474e-05,1.76e-05,2.5024983053639054,3.406754734285698e-05,8.872461255238101e-05,1.9684956781461344e-05
888,P01097,10 nm,Negative,10 mM NaPi pH 7.4,0.009087085970621635,0.00254,2.577592901819541,0.005184763826666648,0.01057688794285704,0.0019984937615343764
889,P01097,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.005903833707858598,0.0143,0.5871444959539441,0.005163424736031759,0.007908795311428572,0.0007784354123577621
890,Q03655,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.00018230823625595095,0.000234,0.22090497326516687,0.00010727849757142895,0.0002403306816190468,4.036940242616158e-05
891,P25373,10 nm,Positive,10 mM NaPi pH 7.4,0.001841191711738095,0.00297,0.3800701307279142,0.001490474178190474,0.002442945353999999,0.00042055903733781896
892,P39940,10 nm,Positive,10 mM NaPi pH 7.4,7.068530156539694e-05,1.7e-05,3.1579589156115846,6.151328826984118e-05,9.765495142857154e-05,1.0551056615640813e-05
893,P39940,10 nm,Negative,10 mM NaPi pH 7.4,9.896275620917154e-05,6.3e-05,0.57083740014558,7.57241527809526e-05,0.000126755215714286,1.3825202132389098e-05
894,P39940,100 nm,Negative,10 mM NaPi pH 7.4,0.00010951861517460345,7.84e-05,0.3969211119209625,9.549546666666718e-05,0.00013963507057142862,1.3206882456893258e-05
895,O94742,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.000981160259186744,0.000144,5.813612911019055,0.0006463706292380967,0.001283228585285704,0.00018131741148266151
896,Q08746,100 nm,Negative,10 mM NaPi pH 7.4,0.0013586530776883087,5.07e-05,25.797891078664865,0.0010631668546666677,0.001737108034285703,0.00018361982093746665
897,Q04344,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.001101724343174594,0.00075,0.4689657908994588,0.0008473930579999884,0.0018237376907619055,0.00029229440616594166
898,P02557,100 nm,Negative,10 mM NaPi pH 7.4,0.0001754393540892958,9.91e-05,0.7703264792058104,0.000149337587603175,0.0002366961178603174,2.3229838171140486e-05
899,P07274,10 nm,Negative,10 mM NaPi pH 7.4,0.0016662737198185886,0.000707,1.3568228003091778,0.0013239671740634875,0.002340973897619036,0.0003503393697895317
900,P07274,100 nm,Negative,10 mM NaPi pH 7.4,0.001406308724999191,0.000523,1.688926816442048,0.001229833788294367,0.0018385778169206339,0.0001763507794859623
901,P28707,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0010408215496069144,0.000427,1.4375211934588157,0.000838555489523809,0.0015715414127619159,0.00018253868970510007
902,P28707,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0009540150820008821,0.00108,0.11665270185103509,0.0007673305199047529,0.001244886594380964,0.00016281653875311846
903,Q05979,100 nm,Negative,10 mM NaPi pH 7.4,0.00023062849499859057,9.59e-05,1.404885245032227,0.00017697903723809755,0.00040890902247618996,8.728423116100562e-05
